edge_id,pair_id,domain,path_order,node_id,label,x,y,weight,source,target,is_cross_border,involves_singapore
bastard-m--huerga-h#tb,bastard-m--huerga-h,tb,2,huerga-h,"Huerga, Helena",0.180495,0.403451,7,bastard-m,huerga-h,,
bastard-m--khan-p#tb,bastard-m--khan-p,tb,1,bastard-m,"Bastard, Mathieu",0.181496,0.400102,7,bastard-m,khan-p,,
bastard-m--khan-p#tb,bastard-m--khan-p,tb,2,khan-p,"Khan, Palwasha Y",0.182363,0.402472,7,bastard-m,khan-p,,
bastard-m--mitnick-c#tb,bastard-m--mitnick-c,tb,1,bastard-m,"Bastard, Mathieu",0.181496,0.400102,7,bastard-m,mitnick-c,,
bastard-m--mitnick-c#tb,bastard-m--mitnick-c,tb,2,mitnick-c,"Mitnick, Carole D",0.177342,0.399036,7,bastard-m,mitnick-c,,
bastard-m--rich-m#tb,bastard-m--rich-m,tb,1,bastard-m,"Bastard, Mathieu",0.181496,0.400102,7,bastard-m,rich-m,,
bastard-m--rich-m#tb,bastard-m--rich-m,tb,2,rich-m,"Rich, Michael L",0.179287,0.398719,7,bastard-m,rich-m,,
dickens-b--lim-j#vector_borne,dickens-b--lim-j,vector_borne,1,dickens-b,"Dickens, Borame",0.305129,0.631392,7,dickens-b,lim-j,,
dickens-b--lim-j#vector_borne,dickens-b--lim-j,vector_borne,2,lim-j,"Lim, Jue Tao",0.311485,0.645288,7,dickens-b,lim-j,,
franke-m--khan-u#tb,franke-m--khan-u,tb,1,franke-m,"Franke, Molly",0.180019,0.401441,6,franke-m,khan-u,,
franke-m--khan-u#tb,franke-m--khan-u,tb,2,khan-u,"Khan, Uzma",0.172753,0.403342,6,franke-m,khan-u,,
hewison-c--khan-u#tb,hewison-c--khan-u,tb,1,hewison-c,"Hewison, Catherine",0.17815,0.401443,6,hewison-c,khan-u,,
hewison-c--khan-u#tb,hewison-c--khan-u,tb,2,khan-u,"Khan, Uzma",0.172753,0.403342,6,hewison-c,khan-u,,
huerga-h--khan-u#tb,huerga-h--khan-u,tb,1,huerga-h,"Huerga, Helena",0.180495,0.403451,6,huerga-h,khan-u,,
huerga-h--khan-u#tb,huerga-h--khan-u,tb,2,khan-u,"Khan, Uzma",0.172753,0.403342,6,huerga-h,khan-u,,
lim-j--ng-l#vector_borne,lim-j--ng-l,vector_borne,1,lim-j,"Lim, Jue Tao",0.311485,0.645288,6,lim-j,ng-l,,
lim-j--ng-l#vector_borne,lim-j--ng-l,vector_borne,2,ng-l,"Ng, Lee Ching",0.313467,0.641842,6,lim-j,ng-l,,
khan-u--seung-k#tb,khan-u--seung-k,tb,1,khan-u,"Khan, Uzma",0.172753,0.403342,6,khan-u,seung-k,,
