edge_id,pair_id,source,target,domain,weight,source_name,target_name,source_institution,target_institution,source_country,target_country
hughes-t--theppangna-w#vector_borne,hughes-t--theppangna-w,hughes-t,theppangna-w,vector_borne,1,"Hughes, Tom","Theppangna, Watthana",,,Malaysia,
hughes-t--tum-s#vector_borne,hughes-t--tum-s,hughes-t,tum-s,vector_borne,1,"Hughes, Tom","Tum, Sothyra",,,Malaysia,Cambodia
hughes-t--turner-p#vector_borne,hughes-t--turner-p,hughes-t,turner-p,vector_borne,1,"Hughes, Tom","Turner, Paul",,University of Oxford,Malaysia,Cambodia
hughes-t--vongsouvath-m#vector_borne,hughes-t--vongsouvath-m,hughes-t,vongsouvath-m,vector_borne,1,"Hughes, Tom","Vongsouvath, Manivanh",,,Malaysia,
hughes-t--ward-m#vector_borne,hughes-t--ward-m,hughes-t,ward-m,vector_borne,1,"Hughes, Tom","Ward, Michael P",,,Malaysia,Australia
hughes-t--windsor-p#vector_borne,hughes-t--windsor-p,hughes-t,windsor-p,vector_borne,1,"Hughes, Tom","Windsor, Peter A",,,Malaysia,Australia
hughes-t--young-j#vector_borne,hughes-t--young-j,hughes-t,young-j,vector_borne,1,"Hughes, Tom","Young, James R",,,Malaysia,Australia
karlsson-e--khounsy-s#vector_borne,karlsson-e--khounsy-s,karlsson-e,khounsy-s,vector_borne,1,"Karlsson, Erik A","Khounsy, Syseng",,Mahidol University,Cambodia,Thailand
karlsson-e--kolenchery-j#vector_borne,karlsson-e--kolenchery-j,karlsson-e,kolenchery-j,vector_borne,1,"Karlsson, Erik A","Kolenchery, Jaison B",,Mahidol University,Cambodia,Thailand
karlsson-e--kong-l#vector_borne,karlsson-e--kong-l,karlsson-e,kong-l,vector_borne,1,"Karlsson, Erik A","Kong, Linghan",,Mahidol University,Cambodia,Thailand
karlsson-e--mayxay-m#vector_borne,karlsson-e--mayxay-m,karlsson-e,mayxay-m,vector_borne,1,"Karlsson, Erik A","Mayxay, Mayfong",,National University of Singapore,Cambodia,Singapore
karlsson-e--newton-p#vector_borne,karlsson-e--newton-p,karlsson-e,newton-p,vector_borne,1,"Karlsson, Erik A","Newton, Paul N",,Mahidol University,Cambodia,Thailand
karlsson-e--phommachanh-p#vector_borne,karlsson-e--phommachanh-p,karlsson-e,phommachanh-p,vector_borne,1,"Karlsson, Erik A","Phommachanh, Phouvong",,,Cambodia,
karlsson-e--roberts-t#vector_borne,karlsson-e--roberts-t,karlsson-e,roberts-t,vector_borne,1,"Karlsson, Erik A","Roberts, Tamalee",,University of Oxford,Cambodia,United Kingdom
karlsson-e--robinson-m#vector_borne,karlsson-e--robinson-m,karlsson-e,robinson-m,vector_borne,1,"Karlsson, Erik A","Robinson, Matthew T",,University of Oxford,Cambodia,United Kingdom
karlsson-e--siengsananlamont-j#vector_borne,karlsson-e--siengsananlamont-j,karlsson-e,siengsananlamont-j,vector_borne,1,"Karlsson, Erik A","Siengsanan-Lamont, Jarunee",,Mahidol University,Cambodia,Thailand
karlsson-e--theppangna-w#vector_borne,karlsson-e--theppangna-w,karlsson-e,theppangna-w,vector_borne,1,"Karlsson, Erik A","Theppangna, Watthana",,,Cambodia,
karlsson-e--tum-s#vector_borne,karlsson-e--tum-s,karlsson-e,tum-s,vector_borne,1,"Karlsson, Erik A","Tum, Sothyra",,,Cambodia,Cambodia
karlsson-e--turner-p#vector_borne,karlsson-e--turner-p,karlsson-e,turner-p,vector_borne,1,"Karlsson, Erik A","Turner, Paul",,University of Oxford,Cambodia,Cambodia
karlsson-e--vongsouvath-m#vector_borne,karlsson-e--vongsouvath-m,karlsson-e,vongsouvath-m,vector_borne,1,"Karlsson, Erik A","Vongsouvath, Manivanh",,,Cambodia,
karlsson-e--ward-m#vector_borne,karlsson-e--ward-m,karlsson-e,ward-m,vector_borne,1,"Karlsson, Erik A","Ward, Michael P",,,Cambodia,Australia
karlsson-e--windsor-p#vector_borne,karlsson-e--windsor-p,karlsson-e,windsor-p,vector_borne,1,"Karlsson, Erik A","Windsor, Peter A",,,Cambodia,Australia
karlsson-e--young-j#vector_borne,karlsson-e--young-j,karlsson-e,young-j,vector_borne,1,"Karlsson, Erik A","Young, James R",,,Cambodia,Australia
khounsy-s--kolenchery-j#vector_borne,khounsy-s--kolenchery-j,khounsy-s,kolenchery-j,vector_borne,1,"Khounsy, Syseng","Kolenchery, Jaison B",Mahidol University,Mahidol University,Thailand,Thailand
khounsy-s--kong-l#vector_borne,khounsy-s--kong-l,khounsy-s,kong-l,vector_borne,1,"Khounsy, Syseng","Kong, Linghan",Mahidol University,Mahidol University,Thailand,Thailand
khounsy-s--mayxay-m#vector_borne,khounsy-s--mayxay-m,khounsy-s,mayxay-m,vector_borne,1,"Khounsy, Syseng","Mayxay, Mayfong",Mahidol University,National University of Singapore,Thailand,Singapore
khounsy-s--newton-p#vector_borne,khounsy-s--newton-p,khounsy-s,newton-p,vector_borne,1,"Khounsy, Syseng","Newton, Paul N",Mahidol University,Mahidol University,Thailand,Thailand
khounsy-s--phommachanh-p#vector_borne,khounsy-s--phommachanh-p,khounsy-s,phommachanh-p,vector_borne,1,"Khounsy, Syseng","Phommachanh, Phouvong",Mahidol University,,Thailand,
khounsy-s--roberts-t#vector_borne,khounsy-s--roberts-t,khounsy-s,roberts-t,vector_borne,1,"Khounsy, Syseng","Roberts, Tamalee",Mahidol University,University of Oxford,Thailand,United Kingdom
khounsy-s--robinson-m#vector_borne,khounsy-s--robinson-m,khounsy-s,robinson-m,vector_borne,1,"Khounsy, Syseng","Robinson, Matthew T",Mahidol University,University of Oxford,Thailand,United Kingdom
khounsy-s--siengsananlamont-j#vector_borne,khounsy-s--siengsananlamont-j,khounsy-s,siengsananlamont-j,vector_borne,1,"Khounsy, Syseng","Siengsanan-Lamont, Jarunee",Mahidol University,Mahidol University,Thailand,Thailand
khounsy-s--theppangna-w#vector_borne,khounsy-s--theppangna-w,khounsy-s,theppangna-w,vector_borne,1,"Khounsy, Syseng","Theppangna, Watthana",Mahidol University,,Thailand,
khounsy-s--tum-s#vector_borne,khounsy-s--tum-s,khounsy-s,tum-s,vector_borne,1,"Khounsy, Syseng","Tum, Sothyra",Mahidol University,,Thailand,Cambodia
khounsy-s--turner-p#vector_borne,khounsy-s--turner-p,khounsy-s,turner-p,vector_borne,1,"Khounsy, Syseng","Turner, Paul",Mahidol University,University of Oxford,Thailand,Cambodia
khounsy-s--vongsouvath-m#vector_borne,khounsy-s--vongsouvath-m,khounsy-s,vongsouvath-m,vector_borne,1,"Khounsy, Syseng","Vongsouvath, Manivanh",Mahidol University,,Thailand,
khounsy-s--ward-m#vector_borne,khounsy-s--ward-m,khounsy-s,ward-m,vector_borne,1,"Khounsy, Syseng","Ward, Michael P",Mahidol University,,Thailand,Australia
khounsy-s--windsor-p#vector_borne,khounsy-s--windsor-p,khounsy-s,windsor-p,vector_borne,1,"Khounsy, Syseng","Windsor, Peter A",Mahidol University,,Thailand,Australia
khounsy-s--young-j#vector_borne,khounsy-s--young-j,khounsy-s,young-j,vector_borne,1,"Khounsy, Syseng","Young, James R",Mahidol University,,Thailand,Australia
kolenchery-j--kong-l#vector_borne,kolenchery-j--kong-l,kolenchery-j,kong-l,vector_borne,1,"Kolenchery, Jaison B","Kong, Linghan",Mahidol University,Mahidol University,Thailand,Thailand
kolenchery-j--mayxay-m#vector_borne,kolenchery-j--mayxay-m,kolenchery-j,mayxay-m,vector_borne,1,"Kolenchery, Jaison B","Mayxay, Mayfong",Mahidol University,National University of Singapore,Thailand,Singapore
kolenchery-j--newton-p#vector_borne,kolenchery-j--newton-p,kolenchery-j,newton-p,vector_borne,1,"Kolenchery, Jaison B","Newton, Paul N",Mahidol University,Mahidol University,Thailand,Thailand
kolenchery-j--phommachanh-p#vector_borne,kolenchery-j--phommachanh-p,kolenchery-j,phommachanh-p,vector_borne,1,"Kolenchery, Jaison B","Phommachanh, Phouvong",Mahidol University,,Thailand,
kolenchery-j--roberts-t#vector_borne,kolenchery-j--roberts-t,kolenchery-j,roberts-t,vector_borne,1,"Kolenchery, Jaison B","Roberts, Tamalee",Mahidol University,University of Oxford,Thailand,United Kingdom
kolenchery-j--robinson-m#vector_borne,kolenchery-j--robinson-m,kolenchery-j,robinson-m,vector_borne,1,"Kolenchery, Jaison B","Robinson, Matthew T",Mahidol University,University of Oxford,Thailand,United Kingdom
kolenchery-j--siengsananlamont-j#vector_borne,kolenchery-j--siengsananlamont-j,kolenchery-j,siengsananlamont-j,vector_borne,1,"Kolenchery, Jaison B","Siengsanan-Lamont, Jarunee",Mahidol University,Mahidol University,Thailand,Thailand
kolenchery-j--theppangna-w#vector_borne,kolenchery-j--theppangna-w,kolenchery-j,theppangna-w,vector_borne,1,"Kolenchery, Jaison B","Theppangna, Watthana",Mahidol University,,Thailand,
kolenchery-j--tum-s#vector_borne,kolenchery-j--tum-s,kolenchery-j,tum-s,vector_borne,1,"Kolenchery, Jaison B","Tum, Sothyra",Mahidol University,,Thailand,Cambodia
kolenchery-j--turner-p#vector_borne,kolenchery-j--turner-p,kolenchery-j,turner-p,vector_borne,1,"Kolenchery, Jaison B","Turner, Paul",Mahidol University,University of Oxford,Thailand,Cambodia
kolenchery-j--vongsouvath-m#vector_borne,kolenchery-j--vongsouvath-m,kolenchery-j,vongsouvath-m,vector_borne,1,"Kolenchery, Jaison B","Vongsouvath, Manivanh",Mahidol University,,Thailand,
kolenchery-j--ward-m#vector_borne,kolenchery-j--ward-m,kolenchery-j,ward-m,vector_borne,1,"Kolenchery, Jaison B","Ward, Michael P",Mahidol University,,Thailand,Australia
kolenchery-j--windsor-p#vector_borne,kolenchery-j--windsor-p,kolenchery-j,windsor-p,vector_borne,1,"Kolenchery, Jaison B","Windsor, Peter A",Mahidol University,,Thailand,Australia
kolenchery-j--young-j#vector_borne,kolenchery-j--young-j,kolenchery-j,young-j,vector_borne,1,"Kolenchery, Jaison B","Young, James R",Mahidol University,,Thailand,Australia
kong-l--mayxay-m#vector_borne,kong-l--mayxay-m,kong-l,mayxay-m,vector_borne,1,"Kong, Linghan","Mayxay, Mayfong",Mahidol University,National University of Singapore,Thailand,Singapore
kong-l--newton-p#vector_borne,kong-l--newton-p,kong-l,newton-p,vector_borne,1,"Kong, Linghan","Newton, Paul N",Mahidol University,Mahidol University,Thailand,Thailand
kong-l--phommachanh-p#vector_borne,kong-l--phommachanh-p,kong-l,phommachanh-p,vector_borne,1,"Kong, Linghan","Phommachanh, Phouvong",Mahidol University,,Thailand,
kong-l--roberts-t#vector_borne,kong-l--roberts-t,kong-l,roberts-t,vector_borne,1,"Kong, Linghan","Roberts, Tamalee",Mahidol University,University of Oxford,Thailand,United Kingdom
kong-l--robinson-m#vector_borne,kong-l--robinson-m,kong-l,robinson-m,vector_borne,1,"Kong, Linghan","Robinson, Matthew T",Mahidol University,University of Oxford,Thailand,United Kingdom
kong-l--siengsananlamont-j#vector_borne,kong-l--siengsananlamont-j,kong-l,siengsananlamont-j,vector_borne,1,"Kong, Linghan","Siengsanan-Lamont, Jarunee",Mahidol University,Mahidol University,Thailand,Thailand
kong-l--theppangna-w#vector_borne,kong-l--theppangna-w,kong-l,theppangna-w,vector_borne,1,"Kong, Linghan","Theppangna, Watthana",Mahidol University,,Thailand,
kong-l--tum-s#vector_borne,kong-l--tum-s,kong-l,tum-s,vector_borne,1,"Kong, Linghan","Tum, Sothyra",Mahidol University,,Thailand,Cambodia
kong-l--turner-p#vector_borne,kong-l--turner-p,kong-l,turner-p,vector_borne,1,"Kong, Linghan","Turner, Paul",Mahidol University,University of Oxford,Thailand,Cambodia
kong-l--vongsouvath-m#vector_borne,kong-l--vongsouvath-m,kong-l,vongsouvath-m,vector_borne,1,"Kong, Linghan","Vongsouvath, Manivanh",Mahidol University,,Thailand,
kong-l--ward-m#vector_borne,kong-l--ward-m,kong-l,ward-m,vector_borne,1,"Kong, Linghan","Ward, Michael P",Mahidol University,,Thailand,Australia
kong-l--windsor-p#vector_borne,kong-l--windsor-p,kong-l,windsor-p,vector_borne,1,"Kong, Linghan","Windsor, Peter A",Mahidol University,,Thailand,Australia
kong-l--young-j#vector_borne,kong-l--young-j,kong-l,young-j,vector_borne,1,"Kong, Linghan","Young, James R",Mahidol University,,Thailand,Australia
mayxay-m--phommachanh-p#vector_borne,mayxay-m--phommachanh-p,mayxay-m,phommachanh-p,vector_borne,1,"Mayxay, Mayfong","Phommachanh, Phouvong",National University of Singapore,,Singapore,
mayxay-m--roberts-t#vector_borne,mayxay-m--roberts-t,mayxay-m,roberts-t,vector_borne,1,"Mayxay, Mayfong","Roberts, Tamalee",National University of Singapore,University of Oxford,Singapore,United Kingdom
mayxay-m--robinson-m#vector_borne,mayxay-m--robinson-m,mayxay-m,robinson-m,vector_borne,1,"Mayxay, Mayfong","Robinson, Matthew T",National University of Singapore,University of Oxford,Singapore,United Kingdom
mayxay-m--siengsananlamont-j#vector_borne,mayxay-m--siengsananlamont-j,mayxay-m,siengsananlamont-j,vector_borne,1,"Mayxay, Mayfong","Siengsanan-Lamont, Jarunee",National University of Singapore,Mahidol University,Singapore,Thailand
mayxay-m--theppangna-w#vector_borne,mayxay-m--theppangna-w,mayxay-m,theppangna-w,vector_borne,1,"Mayxay, Mayfong","Theppangna, Watthana",National University of Singapore,,Singapore,
mayxay-m--tum-s#vector_borne,mayxay-m--tum-s,mayxay-m,tum-s,vector_borne,1,"Mayxay, Mayfong","Tum, Sothyra",National University of Singapore,,Singapore,Cambodia
mayxay-m--turner-p#vector_borne,mayxay-m--turner-p,mayxay-m,turner-p,vector_borne,1,"Mayxay, Mayfong","Turner, Paul",National University of Singapore,University of Oxford,Singapore,Cambodia
mayxay-m--ward-m#vector_borne,mayxay-m--ward-m,mayxay-m,ward-m,vector_borne,1,"Mayxay, Mayfong","Ward, Michael P",National University of Singapore,,Singapore,Australia
mayxay-m--windsor-p#vector_borne,mayxay-m--windsor-p,mayxay-m,windsor-p,vector_borne,1,"Mayxay, Mayfong","Windsor, Peter A",National University of Singapore,,Singapore,Australia
mayxay-m--young-j#vector_borne,mayxay-m--young-j,mayxay-m,young-j,vector_borne,1,"Mayxay, Mayfong","Young, James R",National University of Singapore,,Singapore,Australia
newton-p--phommachanh-p#vector_borne,newton-p--phommachanh-p,newton-p,phommachanh-p,vector_borne,1,"Newton, Paul N","Phommachanh, Phouvong",Mahidol University,,Thailand,
newton-p--roberts-t#vector_borne,newton-p--roberts-t,newton-p,roberts-t,vector_borne,1,"Newton, Paul N","Roberts, Tamalee",Mahidol University,University of Oxford,Thailand,United Kingdom
newton-p--siengsananlamont-j#vector_borne,newton-p--siengsananlamont-j,newton-p,siengsananlamont-j,vector_borne,1,"Newton, Paul N","Siengsanan-Lamont, Jarunee",Mahidol University,Mahidol University,Thailand,Thailand
newton-p--theppangna-w#vector_borne,newton-p--theppangna-w,newton-p,theppangna-w,vector_borne,1,"Newton, Paul N","Theppangna, Watthana",Mahidol University,,Thailand,
newton-p--tum-s#vector_borne,newton-p--tum-s,newton-p,tum-s,vector_borne,1,"Newton, Paul N","Tum, Sothyra",Mahidol University,,Thailand,Cambodia
newton-p--turner-p#vector_borne,newton-p--turner-p,newton-p,turner-p,vector_borne,1,"Newton, Paul N","Turner, Paul",Mahidol University,University of Oxford,Thailand,Cambodia
newton-p--ward-m#vector_borne,newton-p--ward-m,newton-p,ward-m,vector_borne,1,"Newton, Paul N","Ward, Michael P",Mahidol University,,Thailand,Australia
newton-p--windsor-p#vector_borne,newton-p--windsor-p,newton-p,windsor-p,vector_borne,1,"Newton, Paul N","Windsor, Peter A",Mahidol University,,Thailand,Australia
newton-p--young-j#vector_borne,newton-p--young-j,newton-p,young-j,vector_borne,1,"Newton, Paul N","Young, James R",Mahidol University,,Thailand,Australia
phommachanh-p--roberts-t#vector_borne,phommachanh-p--roberts-t,phommachanh-p,roberts-t,vector_borne,1,"Phommachanh, Phouvong","Roberts, Tamalee",,University of Oxford,,United Kingdom
phommachanh-p--robinson-m#vector_borne,phommachanh-p--robinson-m,phommachanh-p,robinson-m,vector_borne,1,"Phommachanh, Phouvong","Robinson, Matthew T",,University of Oxford,,United Kingdom
phommachanh-p--siengsananlamont-j#vector_borne,phommachanh-p--siengsananlamont-j,phommachanh-p,siengsananlamont-j,vector_borne,1,"Phommachanh, Phouvong","Siengsanan-Lamont, Jarunee",,Mahidol University,,Thailand
phommachanh-p--theppangna-w#vector_borne,phommachanh-p--theppangna-w,phommachanh-p,theppangna-w,vector_borne,1,"Phommachanh, Phouvong","Theppangna, Watthana",,,,
phommachanh-p--tum-s#vector_borne,phommachanh-p--tum-s,phommachanh-p,tum-s,vector_borne,1,"Phommachanh, Phouvong","Tum, Sothyra",,,,Cambodia
phommachanh-p--turner-p#vector_borne,phommachanh-p--turner-p,phommachanh-p,turner-p,vector_borne,1,"Phommachanh, Phouvong","Turner, Paul",,University of Oxford,,Cambodia
phommachanh-p--vongsouvath-m#vector_borne,phommachanh-p--vongsouvath-m,phommachanh-p,vongsouvath-m,vector_borne,1,"Phommachanh, Phouvong","Vongsouvath, Manivanh",,,,
phommachanh-p--ward-m#vector_borne,phommachanh-p--ward-m,phommachanh-p,ward-m,vector_borne,1,"Phommachanh, Phouvong","Ward, Michael P",,,,Australia
phommachanh-p--windsor-p#vector_borne,phommachanh-p--windsor-p,phommachanh-p,windsor-p,vector_borne,1,"Phommachanh, Phouvong","Windsor, Peter A",,,,Australia
phommachanh-p--young-j#vector_borne,phommachanh-p--young-j,phommachanh-p,young-j,vector_borne,1,"Phommachanh, Phouvong","Young, James R",,,,Australia
roberts-t--robinson-m#vector_borne,roberts-t--robinson-m,roberts-t,robinson-m,vector_borne,1,"Roberts, Tamalee","Robinson, Matthew T",University of Oxford,University of Oxford,United Kingdom,United Kingdom
roberts-t--siengsananlamont-j#vector_borne,roberts-t--siengsananlamont-j,roberts-t,siengsananlamont-j,vector_borne,1,"Roberts, Tamalee","Siengsanan-Lamont, Jarunee",University of Oxford,Mahidol University,United Kingdom,Thailand
roberts-t--theppangna-w#vector_borne,roberts-t--theppangna-w,roberts-t,theppangna-w,vector_borne,1,"Roberts, Tamalee","Theppangna, Watthana",University of Oxford,,United Kingdom,
roberts-t--tum-s#vector_borne,roberts-t--tum-s,roberts-t,tum-s,vector_borne,1,"Roberts, Tamalee","Tum, Sothyra",University of Oxford,,United Kingdom,Cambodia
roberts-t--turner-p#vector_borne,roberts-t--turner-p,roberts-t,turner-p,vector_borne,1,"Roberts, Tamalee","Turner, Paul",University of Oxford,University of Oxford,United Kingdom,Cambodia
roberts-t--vongsouvath-m#vector_borne,roberts-t--vongsouvath-m,roberts-t,vongsouvath-m,vector_borne,1,"Roberts, Tamalee","Vongsouvath, Manivanh",University of Oxford,,United Kingdom,
roberts-t--ward-m#vector_borne,roberts-t--ward-m,roberts-t,ward-m,vector_borne,1,"Roberts, Tamalee","Ward, Michael P",University of Oxford,,United Kingdom,Australia
roberts-t--windsor-p#vector_borne,roberts-t--windsor-p,roberts-t,windsor-p,vector_borne,1,"Roberts, Tamalee","Windsor, Peter A",University of Oxford,,United Kingdom,Australia
roberts-t--young-j#vector_borne,roberts-t--young-j,roberts-t,young-j,vector_borne,1,"Roberts, Tamalee","Young, James R",University of Oxford,,United Kingdom,Australia
robinson-m--siengsananlamont-j#vector_borne,robinson-m--siengsananlamont-j,robinson-m,siengsananlamont-j,vector_borne,1,"Robinson, Matthew T","Siengsanan-Lamont, Jarunee",University of Oxford,Mahidol University,United Kingdom,Thailand
robinson-m--theppangna-w#vector_borne,robinson-m--theppangna-w,robinson-m,theppangna-w,vector_borne,1,"Robinson, Matthew T","Theppangna, Watthana",University of Oxford,,United Kingdom,
robinson-m--tum-s#vector_borne,robinson-m--tum-s,robinson-m,tum-s,vector_borne,1,"Robinson, Matthew T","Tum, Sothyra",University of Oxford,,United Kingdom,Cambodia
robinson-m--turner-p#vector_borne,robinson-m--turner-p,robinson-m,turner-p,vector_borne,1,"Robinson, Matthew T","Turner, Paul",University of Oxford,University of Oxford,United Kingdom,Cambodia
robinson-m--vongsouvath-m#vector_borne,robinson-m--vongsouvath-m,robinson-m,vongsouvath-m,vector_borne,1,"Robinson, Matthew T","Vongsouvath, Manivanh",University of Oxford,,United Kingdom,
robinson-m--ward-m#vector_borne,robinson-m--ward-m,robinson-m,ward-m,vector_borne,1,"Robinson, Matthew T","Ward, Michael P",University of Oxford,,United Kingdom,Australia
robinson-m--windsor-p#vector_borne,robinson-m--windsor-p,robinson-m,windsor-p,vector_borne,1,"Robinson, Matthew T","Windsor, Peter A",University of Oxford,,United Kingdom,Australia
robinson-m--young-j#vector_borne,robinson-m--young-j,robinson-m,young-j,vector_borne,1,"Robinson, Matthew T","Young, James R",University of Oxford,,United Kingdom,Australia
siengsananlamont-j--theppangna-w#vector_borne,siengsananlamont-j--theppangna-w,siengsananlamont-j,theppangna-w,vector_borne,1,"Siengsanan-Lamont, Jarunee","Theppangna, Watthana",Mahidol University,,Thailand,
siengsananlamont-j--tum-s#vector_borne,siengsananlamont-j--tum-s,siengsananlamont-j,tum-s,vector_borne,1,"Siengsanan-Lamont, Jarunee","Tum, Sothyra",Mahidol University,,Thailand,Cambodia
siengsananlamont-j--turner-p#vector_borne,siengsananlamont-j--turner-p,siengsananlamont-j,turner-p,vector_borne,1,"Siengsanan-Lamont, Jarunee","Turner, Paul",Mahidol University,University of Oxford,Thailand,Cambodia
siengsananlamont-j--vongsouvath-m#vector_borne,siengsananlamont-j--vongsouvath-m,siengsananlamont-j,vongsouvath-m,vector_borne,1,"Siengsanan-Lamont, Jarunee","Vongsouvath, Manivanh",Mahidol University,,Thailand,
siengsananlamont-j--ward-m#vector_borne,siengsananlamont-j--ward-m,siengsananlamont-j,ward-m,vector_borne,1,"Siengsanan-Lamont, Jarunee","Ward, Michael P",Mahidol University,,Thailand,Australia
siengsananlamont-j--windsor-p#vector_borne,siengsananlamont-j--windsor-p,siengsananlamont-j,windsor-p,vector_borne,1,"Siengsanan-Lamont, Jarunee","Windsor, Peter A",Mahidol University,,Thailand,Australia
siengsananlamont-j--young-j#vector_borne,siengsananlamont-j--young-j,siengsananlamont-j,young-j,vector_borne,1,"Siengsanan-Lamont, Jarunee","Young, James R",Mahidol University,,Thailand,Australia
theppangna-w--tum-s#vector_borne,theppangna-w--tum-s,theppangna-w,tum-s,vector_borne,1,"Theppangna, Watthana","Tum, Sothyra",,,,Cambodia
theppangna-w--turner-p#vector_borne,theppangna-w--turner-p,theppangna-w,turner-p,vector_borne,1,"Theppangna, Watthana","Turner, Paul",,University of Oxford,,Cambodia
theppangna-w--vongsouvath-m#vector_borne,theppangna-w--vongsouvath-m,theppangna-w,vongsouvath-m,vector_borne,1,"Theppangna, Watthana","Vongsouvath, Manivanh",,,,
theppangna-w--ward-m#vector_borne,theppangna-w--ward-m,theppangna-w,ward-m,vector_borne,1,"Theppangna, Watthana","Ward, Michael P",,,,Australia
theppangna-w--windsor-p#vector_borne,theppangna-w--windsor-p,theppangna-w,windsor-p,vector_borne,1,"Theppangna, Watthana","Windsor, Peter A",,,,Australia
theppangna-w--young-j#vector_borne,theppangna-w--young-j,theppangna-w,young-j,vector_borne,1,"Theppangna, Watthana","Young, James R",,,,Australia
tum-s--turner-p#vector_borne,tum-s--turner-p,tum-s,turner-p,vector_borne,1,"Tum, Sothyra","Turner, Paul",,University of Oxford,Cambodia,Cambodia
tum-s--vongsouvath-m#vector_borne,tum-s--vongsouvath-m,tum-s,vongsouvath-m,vector_borne,1,"Tum, Sothyra","Vongsouvath, Manivanh",,,Cambodia,
tum-s--ward-m#vector_borne,tum-s--ward-m,tum-s,ward-m,vector_borne,1,"Tum, Sothyra","Ward, Michael P",,,Cambodia,Australia
tum-s--windsor-p#vector_borne,tum-s--windsor-p,tum-s,windsor-p,vector_borne,1,"Tum, Sothyra","Windsor, Peter A",,,Cambodia,Australia
tum-s--young-j#vector_borne,tum-s--young-j,tum-s,young-j,vector_borne,1,"Tum, Sothyra","Young, James R",,,Cambodia,Australia
turner-p--vongsouvath-m#vector_borne,turner-p--vongsouvath-m,turner-p,vongsouvath-m,vector_borne,1,"Turner, Paul","Vongsouvath, Manivanh",University of Oxford,,Cambodia,
turner-p--ward-m#vector_borne,turner-p--ward-m,turner-p,ward-m,vector_borne,1,"Turner, Paul","Ward, Michael P",University of Oxford,,Cambodia,Australia
turner-p--windsor-p#vector_borne,turner-p--windsor-p,turner-p,windsor-p,vector_borne,1,"Turner, Paul","Windsor, Peter A",University of Oxford,,Cambodia,Australia
turner-p--young-j#vector_borne,turner-p--young-j,turner-p,young-j,vector_borne,1,"Turner, Paul","Young, James R",University of Oxford,,Cambodia,Australia
vongsouvath-m--ward-m#vector_borne,vongsouvath-m--ward-m,vongsouvath-m,ward-m,vector_borne,1,"Vongsouvath, Manivanh","Ward, Michael P",,,,Australia
vongsouvath-m--windsor-p#vector_borne,vongsouvath-m--windsor-p,vongsouvath-m,windsor-p,vector_borne,1,"Vongsouvath, Manivanh","Windsor, Peter A",,,,Australia
vongsouvath-m--young-j#vector_borne,vongsouvath-m--young-j,vongsouvath-m,young-j,vector_borne,1,"Vongsouvath, Manivanh","Young, James R",,,,Australia
ward-m--windsor-p#vector_borne,ward-m--windsor-p,ward-m,windsor-p,vector_borne,1,"Ward, Michael P","Windsor, Peter A",,,Australia,Australia
ward-m--young-j#vector_borne,ward-m--young-j,ward-m,young-j,vector_borne,1,"Ward, Michael P","Young, James R",,,Australia,Australia
windsor-p--young-j#vector_borne,windsor-p--young-j,windsor-p,young-j,vector_borne,1,"Windsor, Peter A","Young, James R",,,Australia,Australia
ponniah-c--surya-w#vector_borne,ponniah-c--surya-w,ponniah-c,surya-w,vector_borne,1,"Ponniah, Caleb","Surya, Wahyu",Nanyang Technological University,Nanyang Technological University,Singapore,Singapore
ponniah-c--torres-j#vector_borne,ponniah-c--torres-j,ponniah-c,torres-j,vector_borne,1,"Ponniah, Caleb","Torres, Jaume",Nanyang Technological University,Nanyang Technological University,Singapore,Singapore
surya-w--torres-j#vector_borne,surya-w--torres-j,surya-w,torres-j,vector_borne,1,"Surya, Wahyu","Torres, Jaume",Nanyang Technological University,Nanyang Technological University,Singapore,Singapore
anthony-r--backx-m#tb,anthony-r--backx-m,anthony-r,backx-m,tb,1,"Anthony, Richard","Backx, Matthijs",,,Netherlands,United Kingdom
anthony-r--denholm-j#tb,anthony-r--denholm-j,anthony-r,denholm-j,tb,1,"Anthony, Richard","Denholm, Justin T",,University of Melbourne,Netherlands,Australia
anthony-r--devries-g#tb,anthony-r--devries-g,anthony-r,devries-g,tb,1,"Anthony, Richard","de Vries, Gerard",,,Netherlands,Netherlands
anthony-r--donnan-e#tb,anthony-r--donnan-e,anthony-r,donnan-e,tb,1,"Anthony, Richard","Donnan, Ellen J",,,Netherlands,Australia
anthony-r--laurenson-i#tb,anthony-r--laurenson-i,anthony-r,laurenson-i,tb,1,"Anthony, Richard","Laurenson, Ian F",,,Netherlands,United Kingdom
anthony-r--lee-r#tb,anthony-r--lee-r,anthony-r,lee-r,tb,1,"Anthony, Richard","Lee, Regina Ching Hua",,,Netherlands,Canada
anthony-r--marais-b#tb,anthony-r--marais-b,anthony-r,marais-b,tb,1,"Anthony, Richard","Marais, Ben J",,,Netherlands,Australia
anthony-r--meissner-j#tb,anthony-r--meissner-j,anthony-r,meissner-j,tb,1,"Anthony, Richard","Meissner, Jeanne Sullivan",,,Netherlands,United States
anthony-r--modestil-h#tb,anthony-r--modestil-h,anthony-r,modestil-h,tb,1,"Anthony, Richard","Modestil, Herns",,,Netherlands,United States
anthony-r--ng-d#tb,anthony-r--ng-d,anthony-r,ng-d,tb,1,"Anthony, Richard","Ng, Deborah Hee Ling",,National Centre for Infectious Diseases,Netherlands,Singapore
