edge_id,pair_id,source,target,domain,weight,source_name,target_name,source_institution,target_institution,source_country,target_country
hewison-c--seung-k#tb,hewison-c--seung-k,hewison-c,seung-k,tb,5,"Hewison, Catherine","Seung, Kwonjune J",,Harvard University,France,United States
huerga-h--seung-k#tb,huerga-h--seung-k,huerga-h,seung-k,tb,5,"Huerga, Helena","Seung, Kwonjune J",,Harvard University,France,United States
khan-p--seung-k#tb,khan-p--seung-k,khan-p,seung-k,tb,5,"Khan, Palwasha Y","Seung, Kwonjune J",London School of Hygiene & Tropical Medicine,Harvard University,Singapore,United States
chong-c--ng-l#vector_borne,chong-c--ng-l,chong-c,ng-l,vector_borne,5,"Chong, Chee-Seng","Ng, Lee Ching",KK Women's and Children's Hospital,Environmental Health Institute,Singapore,Singapore
chong-c--tan-c#vector_borne,chong-c--tan-c,chong-c,tan-c,vector_borne,5,"Chong, Chee-Seng","Tan, Cheong Huat",KK Women's and Children's Hospital,Nanyang Technological University,Singapore,Singapore
dickens-b--ng-l#vector_borne,dickens-b--ng-l,dickens-b,ng-l,vector_borne,5,"Dickens, Borame","Ng, Lee Ching",National University of Singapore,Environmental Health Institute,Singapore,Singapore
ng-l--sim-s#vector_borne,ng-l--sim-s,ng-l,sim-s,vector_borne,5,"Ng, Lee Ching","Sim, Shuzhen",Environmental Health Institute,Environmental Health Institute,Singapore,Singapore
bansal-s--dickens-b#vector_borne,bansal-s--dickens-b,bansal-s,dickens-b,vector_borne,5,"Bansal, Somya","Dickens, Borame",National University of Singapore,National University of Singapore,Singapore,Singapore
franke-m--romo-m#tb,franke-m--romo-m,franke-m,romo-m,tb,4,"Franke, Molly","Romo, Matthew L",Harvard University,Harvard University,United States,United States
hewison-c--romo-m#tb,hewison-c--romo-m,hewison-c,romo-m,tb,4,"Hewison, Catherine","Romo, Matthew L",,Harvard University,France,United States
huerga-h--romo-m#tb,huerga-h--romo-m,huerga-h,romo-m,tb,4,"Huerga, Helena","Romo, Matthew L",,Harvard University,France,United States
khan-p--romo-m#tb,khan-p--romo-m,khan-p,romo-m,tb,4,"Khan, Palwasha Y","Romo, Matthew L",London School of Hygiene & Tropical Medicine,Harvard University,Singapore,United States
