uid,domain_id,subdomain_id,subdomain_label,is_primary,vocabulary_rank,year
doi:10.1016/j.ebiom.2024.105456,vector_borne,Mosquito Control,Mosquito Control,0,7,2024
doi:10.1093/jtm/taae103,vector_borne,Dengue,Dengue,1,1,2024
doi:10.1093/jtm/taae103,vector_borne,Aedes,Aedes,0,2,2024
doi:10.1093/jtm/taae103,vector_borne,Mosquito Vectors,Mosquito Vectors,0,3,2024
doi:10.1093/jtm/taae103,vector_borne,Wolbachia,Wolbachia,0,6,2024
doi:10.1093/jtm/taae103,vector_borne,Mosquito Control,Mosquito Control,0,7,2024
doi:10.1093/infdis/jiae104,tb,Antitubercular Agents,Antitubercular Agents,1,1,2024
doi:10.1093/infdis/jiae104,tb,"Tuberculosis, Pulmonary","Tuberculosis, Pulmonary",0,4,2024
doi:10.1093/infdis/jiae104,tb,Rifampin,Rifampin,0,5,2024
doi:10.1093/infdis/jiae104,tb,"Drug Therapy, Combination","Drug Therapy, Combination",0,8,2024
doi:10.1038/s42003-024-06822-1,tb,Tuberculosis,Tuberculosis,1,3,2024
doi:10.1038/s42003-024-06822-1,tb,"Tuberculosis, Pulmonary","Tuberculosis, Pulmonary",0,4,2024
