edge_id,pair_id,source,target,domain,weight,source_country,target_country,source_region,target_region,is_cross_border,involves_singapore
National University Hospital--Singapore General Hospital#sti,National University Hospital--Singapore General Hospital,National University Hospital,Singapore General Hospital,sti,2,Singapore,Singapore,Southeast Asia,Southeast Asia,0,1
National University Hospital--Tan Tock Seng Hospital#sti,National University Hospital--Tan Tock Seng Hospital,National University Hospital,Tan Tock Seng Hospital,sti,2,Singapore,Singapore,Southeast Asia,Southeast Asia,0,1
Duke-NUS Medical School--National University Hospital#rti,Duke-NUS Medical School--National University Hospital,Duke-NUS Medical School,National University Hospital,rti,2,Singapore,Singapore,Southeast Asia,Southeast Asia,0,1
Nanyang Technological University--University of Cambridge#vector_borne,Nanyang Technological University--University of Cambridge,Nanyang Technological University,University of Cambridge,vector_borne,2,Singapore,United Kingdom,Southeast Asia,Europe,1,1
Nanyang Technological University--University of Hong Kong#vector_borne,Nanyang Technological University--University of Hong Kong,Nanyang Technological University,University of Hong Kong,vector_borne,2,Singapore,Hong Kong SAR,Southeast Asia,East Asia,1,1
National University Health System--National University Hospital#amr_hai,National University Health System--National University Hospital,National University Health System,National University Hospital,amr_hai,2,Singapore,Singapore,Southeast Asia,Southeast Asia,0,1
Changi General Hospital--Singapore General Hospital#tb,Changi General Hospital--Singapore General Hospital,Changi General Hospital,Singapore General Hospital,tb,2,Singapore,Singapore,Southeast Asia,Southeast Asia,0,1
Duke-NUS Medical School--Singapore General Hospital#tb,Duke-NUS Medical School--Singapore General Hospital,Duke-NUS Medical School,Singapore General Hospital,tb,2,Singapore,Singapore,Southeast Asia,Southeast Asia,0,1
Sengkang General Hospital--Singapore General Hospital#tb,Sengkang General Hospital--Singapore General Hospital,Sengkang General Hospital,Singapore General Hospital,tb,2,Singapore,Singapore,Southeast Asia,Southeast Asia,0,1
KK Women's and Children's Hospital--Nanyang Technological University#amr_hai,KK Women's and Children's Hospital--Nanyang Technological University,KK Women's and Children's Hospital,Nanyang Technological University,amr_hai,2,Singapore,Singapore,Southeast Asia,Southeast Asia,0,1
KK Women's and Children's Hospital--National University of Singapore#amr_hai,KK Women's and Children's Hospital--National University of Singapore,KK Women's and Children's Hospital,National University of Singapore,amr_hai,2,Singapore,Singapore,Southeast Asia,Southeast Asia,0,1
Nanyang Technological University--National University Health System#amr_hai,Nanyang Technological University--National University Health System,Nanyang Technological University,National University Health System,amr_hai,2,Singapore,Singapore,Southeast Asia,Southeast Asia,0,1
A*STAR Infectious Diseases Labs--Nanyang Technological University#other_id,A*STAR Infectious Diseases Labs--Nanyang Technological University,A*STAR Infectious Diseases Labs,Nanyang Technological University,other_id,2,Singapore,Singapore,Southeast Asia,Southeast Asia,0,1
A*STAR Infectious Diseases Labs--National University of Singapore#other_id,A*STAR Infectious Diseases Labs--National University of Singapore,A*STAR Infectious Diseases Labs,National University of Singapore,other_id,2,Singapore,Singapore,Southeast Asia,Southeast Asia,0,1
"Agency for Science, Technology and Research--Bioinformatics Institute#rti","Agency for Science, Technology and Research--Bioinformatics Institute","Agency for Science, Technology and Research",Bioinformatics Institute,rti,2,Singapore,United Kingdom,Southeast Asia,Europe,1,1
Bioinformatics Institute--National University of Singapore#rti,Bioinformatics Institute--National University of Singapore,Bioinformatics Institute,National University of Singapore,rti,2,United Kingdom,Singapore,Europe,Southeast Asia,1,1
A*STAR Infectious Diseases Labs--Nanyang Technological University#vector_borne,A*STAR Infectious Diseases Labs--Nanyang Technological University,A*STAR Infectious Diseases Labs,Nanyang Technological University,vector_borne,2,Singapore,Singapore,Southeast Asia,Southeast Asia,0,1
National Skin Centre--Singapore General Hospital#sti,National Skin Centre--Singapore General Hospital,National Skin Centre,Singapore General Hospital,sti,2,Singapore,Singapore,Southeast Asia,Southeast Asia,0,1
National University of Singapore--Singapore Immunology Network#vector_borne,National University of Singapore--Singapore Immunology Network,National University of Singapore,Singapore Immunology Network,vector_borne,2,Singapore,Singapore,Southeast Asia,Southeast Asia,0,1
National University Health System--National University of Singapore#tb,National University Health System--National University of Singapore,National University Health System,National University of Singapore,tb,2,Singapore,Singapore,Southeast Asia,Southeast Asia,0,1
National University Health System--Oxford University Clinical Research Unit#tb,National University Health System--Oxford University Clinical Research Unit,National University Health System,Oxford University Clinical Research Unit,tb,2,Singapore,Viet Nam,Southeast Asia,Southeast Asia,1,1
National University Health System--University of Melbourne#tb,National University Health System--University of Melbourne,National University Health System,University of Melbourne,tb,2,Singapore,Australia,Southeast Asia,Oceania,1,1
National University of Singapore--Oxford University Clinical Research Unit#tb,National University of Singapore--Oxford University Clinical Research Unit,National University of Singapore,Oxford University Clinical Research Unit,tb,2,Singapore,Viet Nam,Southeast Asia,Southeast Asia,1,1
