uid,pmid,pmc,doi,url,title,journal,journal_abbrev,year,pub_date,language,article_types,n_authors,n_institutions,n_countries,primary_domain,primary_domain_label,domains,is_multi_domain,primary_subdomain,subdomains,research_types,n_research_types,singapore_led,is_international,first_author,last_author,first_author_country,last_author_country,sg_institutions,countries,institutions,topic_id,topic_label,topic_terms,topic_map_x,topic_map_y,screening_decision,screening_decided_by,screening_rules,screening_flags,sources,query_ids,needs_manual_metadata
doi:10.1186/s12348-026-00586-x,42024295,PMC13253918,10.1186/s12348-026-00586-x,https://pubmed.ncbi.nlm.nih.gov/42024295/,Utility of the Collaborative Ocular Tuberculosis Study (COTS) calculator in the management of a case of frosted branch angiitis secondary to presumed intraocular tuberculosis - a case report.,Journal of ophthalmic inflammation and infection,J Ophthalmic Inflamm Infect,2026,2026-04-23,eng,Journal Article,4,2,1,tb,Tuberculosis,tb,0,Other/unspecified,,Case study,1,1,0,"Yin, Toh Ker","Sen, Yuen Yew",Singapore,Singapore,Khoo Teck Puat Hospital|National University Hospital,Singapore,Khoo Teck Puat Hospital|National University Hospital,tb_t2,"diagnosis, diagnostic, conducted, systematic","diagnosis, diagnostic, conducted, systematic, included, characteristics, symptoms, age",0.0,0.742955,include,mechanical,INC-GEO-01,,pubmed,geo_tb_1,0
doi:10.1186/s12942-026-00467-5,41933361,PMC13173891,10.1186/s12942-026-00467-5,https://pubmed.ncbi.nlm.nih.gov/41933361/,Using genomic epidemiology and geographic activity spaces to investigate tuberculosis outbreaks in Botswana.,International journal of health geographics,Int J Health Geogr,2026,2026-04-03,eng,Journal Article,13,2,4,tb,Tuberculosis,tb,0,Mycobacterium tuberculosis,Mycobacterium tuberculosis|Tuberculosis,Genomics|Outbreak management|Surveillance and epidemiology,3,0,1,"Baker, Chelsea R","Shin, Sanghyuk S",United States,United States,National University of Singapore,Botswana|Germany|Singapore|United States,National University of Singapore|US Centers for Disease Control and Prevention,tb_t2,"diagnosis, diagnostic, conducted, systematic","diagnosis, diagnostic, conducted, systematic, included, characteristics, symptoms, age",0.497686,0.901979,include,mechanical,INC-GEO-01,regional_participation,pubmed,geo_tb_3,0
doi:10.5588/ijtldopen.26.0076,42583241,PMC13460431,10.5588/ijtldopen.26.0076,https://pubmed.ncbi.nlm.nih.gov/42583241/,Using causal frameworks to reduce bias in observational TB research: a comparison of model-building approaches.,IJTLD open,IJTLD Open,2026,2026-08-11,eng,Journal Article,10,2,5,tb,Tuberculosis,tb|sti,1,Other/unspecified,,Surveillance and epidemiology,1,1,1,"Barcellini, L","Khan, P Y",Italy,Singapore,,France|Italy|Singapore|United Kingdom|United States,Harvard University|London School of Hygiene & Tropical Medicine,tb_t1,"antitubercular, drug, agents, multidrug-resistant","antitubercular, drug, agents, multidrug-resistant, treatment, rifampin, drugs, mycobacterium",0.602613,0.233539,include,mechanical,INC-GEO-01,,pubmed,geo_sti_1|geo_sti_2|geo_tb_2,0
doi:10.1073/pnas.2606669123,42627830,PMC13506054,10.1073/pnas.2606669123,https://pubmed.ncbi.nlm.nih.gov/42627830/,Urban tree canopy fragmentation and child mortality in low- and middle-income countries.,Proceedings of the National Academy of Sciences of the United States of America,Proc Natl Acad Sci U S A,2026,2026-08-21,eng,Journal Article,15,1,5,vector_borne,Vector-borne diseases,vector_borne,0,Other/unspecified,,,0,1,1,"Chi, Dengkai","Tan, Puay Yok",China,Singapore,,Australia|China|New Zealand|Singapore|Switzerland,University of Melbourne,vector_borne_t5,"leading, implications, vector-borne, mortality","leading, implications, vector-borne, mortality, region, spaces, space, sequence",0.55412,0.249261,include,mechanical,INC-GEO-01,,pubmed,geo_vector_borne_3,0
doi:10.3390/biom16070970,42509764,PMC13406156,10.3390/biom16070970,https://pubmed.ncbi.nlm.nih.gov/42509764/,Understanding the Role of Macrocycle Size and Amide Linkage in Teixobactin Analogues.,Biomolecules,Biomolecules,2026,2026-07-01,eng,Journal Article,10,2,4,amr_hai,AMR and healthcare-associated infections,amr_hai,0,Anti-Bacterial Agents,Anti-Bacterial Agents|Microbial Sensitivity Tests|Methicillin-Resistant Staphylococcus aureus,,0,0,1,"Malkawi, Ruba","Singh, Ishwar",Jordan,United Kingdom,Duke-NUS Medical School|National University of Singapore,China|Jordan|Singapore|United Kingdom,Duke-NUS Medical School|National University of Singapore,amr_hai_t2,"agents, tests, activity, sensitivity","agents, tests, activity, sensitivity, antibacterial, anti-bacterial, animals, microbial",0.402355,0.16668,include,mechanical,INC-GEO-01,regional_participation,pubmed,geo_amr_hai_3|geo_amr_hai_4|geo_amr_hai_5,0
doi:10.3390/pathogens15040378,42075705,PMC13119144,10.3390/pathogens15040378,https://pubmed.ncbi.nlm.nih.gov/42075705/,"Two Coding-Complete Genomes of Tick-Borne Encephalitis Virus Sequenced fromCollected in Bulgan, Mongolia.","Pathogens (Basel, Switzerland)",Pathogens,2026,2026-04-01,eng,Journal Article,17,0,3,vector_borne,Vector-borne diseases,vector_borne,0,"Genome, Viral","Genome, Viral",Genomics|Entomology,2,0,1,"Cleary, Nora G","von Fricken, Michael E",United States,United States,,Mongolia|Singapore|United States,,vector_borne_t5,"leading, implications, vector-borne, mortality","leading, implications, vector-borne, mortality, region, spaces, space, sequence",0.396738,0.670827,include,mechanical,INC-GEO-01,,pubmed,geo_vector_borne_2|geo_vector_borne_3|geo_vector_borne_4,0
doi:10.1080/07853890.2026.2714685,42615857,PMC13491897,10.1080/07853890.2026.2714685,https://pubmed.ncbi.nlm.nih.gov/42615857/,Tuberculosis disease and infection among household contacts of bacteriologically confirmed vs unconfirmed tuberculosis in Cambodia: considerations for optimising contact investigation and preventive treatment.,Annals of medicine,Ann Med,2026,2026-08-19,eng,"Journal Article|Research Support, Non-U.S. Gov't",11,2,5,tb,Tuberculosis,tb,0,Mycobacterium tuberculosis,"Mycobacterium tuberculosis|Tuberculosis|Tuberculosis, Pulmonary",Outbreak management|Surveillance and epidemiology,2,1,1,"Tep, Sovanvorleak","Teo, Alvin Kuo Jing",Cambodia,Australia,National University of Singapore,Australia|Cambodia|Japan|Singapore|United States,Johns Hopkins University|National University of Singapore,tb_t2,"diagnosis, diagnostic, conducted, systematic","diagnosis, diagnostic, conducted, systematic, included, characteristics, symptoms, age",0.354585,0.667735,include,mechanical,INC-GEO-01,,pubmed,geo_all_id_1|geo_rti_5|geo_sti_1|geo_tb_1|geo_tb_2|geo_tb_3|geo_tb_4,0
doi:10.64898/2026.03.19.26348865,41929315,PMC13042097,10.64898/2026.03.19.26348865,https://pubmed.ncbi.nlm.nih.gov/41929315/,"Trends in frequency of HIV viral load and CD4 cell count monitoring among Asian cohort of adults with HIV: an analysis of the TREAT Asia HIV Observational Database, 2003-2018.",medRxiv : the preprint server for health sciences,medRxiv,2026,2026-03-23,eng,Journal Article|Preprint,24,4,14,sti,Sexually-transmitted infections,sti,0,Other/unspecified,,Virology,1,0,1,"Pasayan, Mark Kristoffer Ungos","Ditangco, Rossana",Philippines,Philippines,National Centre for Infectious Diseases,Australia|Cambodia|China|Hong Kong SAR|India|Indonesia|Japan|Malaysia|Philippines|Republic of Korea|Singapore|Taiwan|Thailand|Viet Nam,Mahidol University|National Centre for Infectious Diseases|Universitas Indonesia|University of Malaya,sti_t1,"hiv, therapy, male, infections","hiv, therapy, male, infections, people, living, infection, agents",0.737553,0.523601,include,mechanical,INC-GEO-01,regional_participation,pubmed,geo_sti_1,0
doi:10.1016/j.celrep.2026.117286,42030160,PMC13270088,10.1016/j.celrep.2026.117286,https://pubmed.ncbi.nlm.nih.gov/42030160/,The mycobacterial ATP burst is a lysis artifact and serves as an assay for drug-induced cell wall damage.,Cell reports,Cell Rep,2026,2026-04-22,eng,Journal Article|Preprint,6,2,3,tb,Tuberculosis,tb,0,Antitubercular Agents,Antitubercular Agents|Mycobacterium tuberculosis,,0,0,1,"Mulholland, Claire V","Berney, Michael",United States,Switzerland,Nanyang Technological University|National Centre for Infectious Diseases,Singapore|Switzerland|United States,Nanyang Technological University|National Centre for Infectious Diseases,tb_t1,"antitubercular, drug, agents, multidrug-resistant","antitubercular, drug, agents, multidrug-resistant, treatment, rifampin, drugs, mycobacterium",0.739388,0.93824,include,mechanical,INC-GEO-01,,pubmed,geo_tb_1|geo_tb_3,0
doi:10.1016/j.ejogrb.2026.115359,42574935,,10.1016/j.ejogrb.2026.115359,https://pubmed.ncbi.nlm.nih.gov/42574935/,The impact of p16-Ki67 dual-stain cytology in women screened positive for human papillomavirus.,"European journal of obstetrics, gynecology, and reproductive biology",Eur J Obstet Gynecol Reprod Biol,2026,2026-08-07,eng,Journal Article,3,1,1,sti,Sexually-transmitted infections,sti,0,Other/unspecified,,Disease management,1,1,0,"Tay, Sun Kuie","Ang, Joella Xiaohong",Singapore,Singapore,Singapore General Hospital,Singapore,Singapore General Hospital,sti_t1,"hiv, therapy, male, infections","hiv, therapy, male, infections, people, living, infection, agents",0.630571,0.153806,include,mechanical,INC-GEO-01,,pubmed,geo_sti_1,0
