uid,pmid,pmc,doi,url,title,journal,journal_abbrev,year,pub_date,language,article_types,n_authors,n_institutions,n_countries,primary_domain,primary_domain_label,domains,is_multi_domain,primary_subdomain,subdomains,research_types,n_research_types,singapore_led,is_international,first_author,last_author,first_author_country,last_author_country,sg_institutions,countries,institutions,topic_id,topic_label,topic_terms,topic_map_x,topic_map_y,screening_decision,screening_decided_by,screening_rules,screening_flags,sources,query_ids,needs_manual_metadata
doi:10.12968/jowc.2023.0112,41528794,,10.12968/jowc.2023.0112,https://pubmed.ncbi.nlm.nih.gov/41528794/,Negative pressure wound therapy in paediatric scoliosis surgery: a pilot study.,Journal of wound care,J Wound Care,2026,2026-Jan-02,eng,Journal Article,5,1,1,amr_hai,AMR and healthcare-associated infections,amr_hai,0,Surgical Wound Infection,Surgical Wound Infection,,0,1,0,"Ling, Stacy Ng Wei","Leong, Kevin Lim Boon",Singapore,Singapore,KK Women's and Children's Hospital,Singapore,KK Women's and Children's Hospital,amr_hai_t2,"agents, tests, activity, sensitivity","agents, tests, activity, sensitivity, antibacterial, anti-bacterial, animals, microbial",0.0,0.784456,include,mechanical,INC-GEO-01,,pubmed,geo_amr_hai_5,0
doi:10.1038/s41467-026-74032-w,42259813,PMC13402603,10.1038/s41467-026-74032-w,https://pubmed.ncbi.nlm.nih.gov/42259813/,Mycobacterium tuberculosis IDH-PPARγ interaction suppresses GPX4 to drive macrophage ferroptosis and sustain persistent infection.,Nature communications,Nat Commun,2026,2026-06-08,eng,Journal Article,28,1,3,tb,Tuberculosis,tb,0,Mycobacterium tuberculosis,Mycobacterium tuberculosis|Tuberculosis,,0,0,1,"Pu, Wenyuan","Huang, Zhiqiang",China,China,Duke-NUS Medical School,China|Singapore|Sweden,Duke-NUS Medical School,tb_t1,"antitubercular, drug, agents, multidrug-resistant","antitubercular, drug, agents, multidrug-resistant, treatment, rifampin, drugs, mycobacterium",0.991661,0.675107,include,mechanical,INC-GEO-01,,pubmed,geo_tb_2|geo_tb_3,0
doi:10.1021/acsinfecdis.6c00309,42480986,PMC13488445,10.1021/acsinfecdis.6c00309,https://pubmed.ncbi.nlm.nih.gov/42480986/,Multipronged Cell Wall-Targeting Converts Ineffective Antibiotics into a Potent Regimen against Mycobacterium abscessus.,ACS infectious diseases,ACS Infect Dis,2026,2026-Aug-14,eng,Journal Article,3,2,2,amr_hai,AMR and healthcare-associated infections,amr_hai|tb,1,Anti-Bacterial Agents,Anti-Bacterial Agents|Microbial Sensitivity Tests,,0,1,1,"Pee, Carmen J E","Pethe, Kevin",Singapore,Singapore,Nanyang Technological University,Singapore|United Kingdom,Nanyang Technological University|University of Oxford,amr_hai_t2,"agents, tests, activity, sensitivity","agents, tests, activity, sensitivity, antibacterial, anti-bacterial, animals, microbial",0.363847,0.304432,include,mechanical,INC-GEO-01,,pubmed,geo_amr_hai_1|geo_amr_hai_4|geo_tb_1,0
doi:10.1128/spectrum.03669-25,42148577,PMC13339962,10.1128/spectrum.03669-25,https://pubmed.ncbi.nlm.nih.gov/42148577/,"Multicenter evaluation of a single-device dengue antibody/antigen rapid test for simultaneous detection of NS1, IgM, and IgG.",Microbiology spectrum,Microbiol Spectr,2026,2026-05-18,eng,Journal Article|Multicenter Study|Evaluation Study,9,0,3,vector_borne,Vector-borne diseases,vector_borne,0,Dengue,Dengue|Dengue Virus|Viral Nonstructural Proteins,Detection|Outbreak management|Disease management|Immunology,4,1,1,"Zhao, Zhihai","Xu, Na",Singapore,Singapore,,Bangladesh|India|Singapore,,vector_borne_t6,"included, evaluation, rapid, settings","included, evaluation, rapid, settings, detection, southeast, positive, denv",0.321119,0.771524,include,mechanical,INC-GEO-01,,pubmed,geo_vector_borne_1|geo_vector_borne_2|geo_vector_borne_3|geo_vector_borne_4,0
doi:10.1038/s41541-026-01519-4,42399666,,10.1038/s41541-026-01519-4,https://pubmed.ncbi.nlm.nih.gov/42399666/,"Modeling time-varying efficacy of RTS,S/AS01 malaria vaccine across trial settings.",NPJ vaccines,NPJ Vaccines,2026,2026-07-03,eng,Journal Article,3,3,3,vector_borne,Vector-borne diseases,vector_borne,0,Other/unspecified,,Vaccine,1,1,1,"Zhao, Ziwei","Cheung, Yin Bun",Singapore,Finland,Duke-NUS Medical School|National University of Singapore,Finland|Singapore|United Kingdom,Duke-NUS Medical School|London School of Hygiene & Tropical Medicine|National University of Singapore,vector_borne_t6,"included, evaluation, rapid, settings","included, evaluation, rapid, settings, detection, southeast, positive, denv",0.740214,0.518657,include,mechanical,INC-GEO-01,,pubmed,geo_vector_borne_2,0
doi:10.1038/s41467-026-75524-5,42680742,PMC13534727,10.1038/s41467-026-75524-5,https://pubmed.ncbi.nlm.nih.gov/42680742/,Microbiome features associated with persistent intestinal carriages of Escherichia coli ST131 in a Southeast Asian cohort study.,Nature communications,Nat Commun,2026,2026-07-31,eng,Journal Article,15,6,3,amr_hai,AMR and healthcare-associated infections,amr_hai,0,Escherichia coli,Escherichia coli,Clinical studies|Infection prevention and control,2,1,1,"Low, Adrian","Mo, Yin",Singapore,Singapore,Genome Institute of Singapore|National University Health System|National University Hospital|National University of Singapore,Singapore|United Kingdom|Viet Nam,Genome Institute of Singapore|National University Health System|National University Hospital|National University of Singapore|Oxford University Clinical Research Unit|University of Oxford,amr_hai_t2,"agents, tests, activity, sensitivity","agents, tests, activity, sensitivity, antibacterial, anti-bacterial, animals, microbial",0.878969,0.440498,include,mechanical,INC-GEO-01,,pubmed,geo_all_id_1|geo_all_id_2|geo_amr_hai_1|geo_amr_hai_3,0
doi:10.1186/s12879-026-13489-y,42062945,PMC13289394,10.1186/s12879-026-13489-y,https://pubmed.ncbi.nlm.nih.gov/42062945/,Microbiology and clinical characteristics of brain abscess in adults from 3 tertiary hospitals in Singapore - a 11-year multicenter retrospective study.,BMC infectious diseases,BMC Infect Dis,2026,2026-04-30,eng,Journal Article|Multicenter Study,6,4,1,tb,Tuberculosis,tb,0,Other/unspecified,,,0,1,0,"Sng, Edwin Chong Yu","Chan, Candice Yuen Yue",Singapore,Singapore,Changi General Hospital|Duke-NUS Medical School|Sengkang General Hospital|Singapore General Hospital,Singapore,Changi General Hospital|Duke-NUS Medical School|Sengkang General Hospital|Singapore General Hospital,tb_t2,"diagnosis, diagnostic, conducted, systematic","diagnosis, diagnostic, conducted, systematic, included, characteristics, symptoms, age",0.339974,0.310716,include,mechanical,INC-GEO-01,,pubmed,geo_sti_1|geo_tb_2,0
doi:10.1016/j.biomaterials.2026.124421,42398423,,10.1016/j.biomaterials.2026.124421,https://pubmed.ncbi.nlm.nih.gov/42398423/,Mg-integrated octopus-inspired hydrogel dressing enables autonomous adhesion and wound closure for enhanced healing via sequential microenvironment regulation.,Biomaterials,Biomaterials,2026,2026-06-30,eng,Journal Article,13,1,2,amr_hai,AMR and healthcare-associated infections,amr_hai,0,Anti-Bacterial Agents,Anti-Bacterial Agents,Disease management,1,1,1,"Wang, Xianli","Li, Jun",China,Singapore,National University of Singapore,China|Singapore,National University of Singapore,amr_hai_t2,"agents, tests, activity, sensitivity","agents, tests, activity, sensitivity, antibacterial, anti-bacterial, animals, microbial",0.140568,0.335162,include,mechanical,INC-GEO-01,,pubmed,geo_amr_hai_4,0
doi:10.1007/s00604-026-08340-9,42631732,,10.1007/s00604-026-08340-9,https://pubmed.ncbi.nlm.nih.gov/42631732/,Methylene blue-modified hexagonal boron nitride nanostructured immunosensor for early detection of HPV16 E6 oncoprotein.,Mikrochimica acta,Mikrochim Acta,2026,2026-08-22,eng,Journal Article,6,1,2,sti,Sexually-transmitted infections,sti,0,Other/unspecified,,Detection,1,0,1,"Kotal, Hiranmoy","Jana, Saikat Kumar",India,India,Nanyang Technological University,India|Singapore,Nanyang Technological University,sti_t2,"vaccines, health, program, national","vaccines, health, program, national, papillomavirus, vaccination, human, per",0.479265,0.0,include,mechanical,INC-GEO-01,,pubmed,geo_sti_1,0
doi:10.1186/s12909-026-09775-7,42482208,,10.1186/s12909-026-09775-7,https://pubmed.ncbi.nlm.nih.gov/42482208/,"Medical students' perspectives on climate change, climate-health education, and professional identity: a qualitative study.",BMC medical education,BMC Med Educ,2026,2026-07-21,eng,Journal Article,5,3,2,vector_borne,Vector-borne diseases,vector_borne,0,Other/unspecified,,,0,1,1,"Loh, Martin Wei-Pin","Griva, Konstadina",Singapore,Singapore,Nanyang Technological University|National University of Singapore,China|Singapore,Nanyang Technological University|National University of Singapore|University of Hong Kong,vector_borne_t1,"infection, fever, although, male","infection, fever, although, male, aged, adult, yellow, zikv",0.493212,0.157473,include,mechanical,INC-GEO-01,,pubmed,geo_vector_borne_3,0
doi:10.1186/s13073-026-01655-5,41998770,PMC13214156,10.1186/s13073-026-01655-5,https://pubmed.ncbi.nlm.nih.gov/41998770/,Maternal-prenatal gut microbiome-systemic metabolome perturbations and T2-skewed immunity link to offspring gut microbiome disruption and atopic dermatitis susceptibility.,Genome medicine,Genome Med,2026,2026-04-17,eng,"Journal Article|Research Support, Non-U.S. Gov't",31,6,5,amr_hai,AMR and healthcare-associated infections,amr_hai,0,Other/unspecified,,Clinical studies,1,1,1,"Ng, Daniel Zhi Wei","Ta, Le Duc Huy",Singapore,Singapore,"Agency for Science, Technology and Research|KK Women's and Children's Hospital|Nanyang Technological University|National University Health System|National University Hospital|National University of Singapore",Finland|Ireland|Netherlands|Singapore|United Kingdom,"Agency for Science, Technology and Research|KK Women's and Children's Hospital|Nanyang Technological University|National University Health System|National University Hospital|National University of Singapore",amr_hai_t2,"agents, tests, activity, sensitivity","agents, tests, activity, sensitivity, antibacterial, anti-bacterial, animals, microbial",0.887136,0.374425,include,mechanical,INC-GEO-01,,pubmed,geo_amr_hai_2,0
doi:10.1093/jpids/piag032,41983586,PMC13219736,10.1093/jpids/piag032,https://pubmed.ncbi.nlm.nih.gov/41983586/,Lungs Are Only Half the Story: Programmatic Shifts to Prioritize Pediatric Extrapulmonary Tuberculosis Detection in High-Burden Settings.,Journal of the Pediatric Infectious Diseases Society,J Pediatric Infect Dis Soc,2026,2026-May-20,eng,Journal Article,6,0,3,tb,Tuberculosis,tb,0,Other/unspecified,,Surveillance and epidemiology,1,1,1,"Brooks, Meredith B","Malik, Amyn A",United States,Singapore,,Bangladesh|Singapore|United States,,tb_t2,"diagnosis, diagnostic, conducted, systematic","diagnosis, diagnostic, conducted, systematic, included, characteristics, symptoms, age",0.353411,0.977401,include,mechanical,INC-GEO-01,,pubmed,geo_tb_1,0
doi:10.64898/2026.05.07.723652,42182111,PMC13192789,10.64898/2026.05.07.723652,https://pubmed.ncbi.nlm.nih.gov/42182111/,Loss of 7-Dehydrocholesterol Reductase mediated cholesterol biosynthesis activates IRF3 and inhibits control ofinfection.,bioRxiv : the preprint server for biology,bioRxiv,2026,2026-05-12,eng,Journal Article|Preprint,5,3,2,other_id,Other infectious disease,other_id,0,Other/unspecified,,Immunology,1,1,1,"Sui, Xiangyu","Oehlers, Stefan H",Singapore,Singapore,A*STAR Infectious Diseases Labs|Nanyang Technological University|National University of Singapore,Singapore|United States,A*STAR Infectious Diseases Labs|Nanyang Technological University|National University of Singapore,other_id_t1,"cell, cells, vitro, reduced","cell, cells, vitro, reduced, promising, infection, demonstrate, therapeutic",0.284036,1.0,include,agent,INC-TOP-01,,pubmed,geo_tb_2,0
doi:10.1038/s41467-026-76156-5,42669720,PMC13527130,10.1038/s41467-026-76156-5,https://pubmed.ncbi.nlm.nih.gov/42669720/,Longitudinal analysis reveals myeloid cell contributions to murine neuroPASC pathogenesis.,Nature communications,Nat Commun,2026,2026-07-30,eng,"Journal Article|Research Support, N.I.H., Extramural",11,1,3,rti,Respiratory-tract infections,rti,0,COVID-19,COVID-19,,0,0,1,"Tan, Lu","Perlman, Stanley",United States,United States,Singapore Immunology Network,China|Singapore|United States,Singapore Immunology Network,rti_t4,"acute, severe, respiratory, pneumonia","acute, severe, respiratory, pneumonia, admission, syndrome, median, failure",0.213371,0.884156,include,mechanical,INC-GEO-01,,pubmed,geo_all_id_1|geo_all_id_2|geo_rti_1|geo_rti_3|geo_rti_4|geo_rti_5,0
doi:10.1038/s41467-026-74526-7,42303613,PMC13522585,10.1038/s41467-026-74526-7,https://pubmed.ncbi.nlm.nih.gov/42303613/,Longitudinal analysis of influenza A virus deletion-containing viral genomes reveals key determinants of co-evolutionary dynamics and interference.,Nature communications,Nat Commun,2026,2026-06-16,eng,Journal Article,10,4,2,rti,Respiratory-tract infections,rti,0,Virus Replication,Virus Replication,Genomics|Virology,2,1,1,"Alnaji, Fadi G","Brooke, Christopher B",Singapore,United States,"Agency for Science, Technology and Research|Bioinformatics Institute|Nanyang Technological University|National University of Singapore",Singapore|United States,"Agency for Science, Technology and Research|Bioinformatics Institute|Nanyang Technological University|National University of Singapore",rti_t6,"viral, protein, animals, virus","viral, protein, animals, virus, replication, genetic, potential, infections",0.121977,0.545432,include,mechanical,INC-GEO-01,,pubmed,geo_rti_2,0
doi:10.1016/j.bj.2026.101033,42595088,,10.1016/j.bj.2026.101033,https://pubmed.ncbi.nlm.nih.gov/42595088/,Longitudinal Changes in Clonal Distribution and Fluoroquinolone Resistance of Ocular MRSA.,Biomedical journal,Biomed J,2026,2026-08-13,eng,Journal Article,8,1,2,amr_hai,AMR and healthcare-associated infections,amr_hai,0,Other/unspecified,,Surveillance and epidemiology,1,0,1,"Hsiao, Ching-Hsi","Huang, Yhu-Chering",Taiwan,Taiwan,Sengkang General Hospital,Singapore|Taiwan,Sengkang General Hospital,amr_hai_t2,"agents, tests, activity, sensitivity","agents, tests, activity, sensitivity, antibacterial, anti-bacterial, animals, microbial",0.573448,0.38197,include,mechanical,INC-GEO-01,,pubmed,geo_amr_hai_3,0
doi:10.1016/j.vaccine.2026.128513,41905061,,10.1016/j.vaccine.2026.128513,https://pubmed.ncbi.nlm.nih.gov/41905061/,Long-term impacts of HPV vaccination strategies on HPV related Cancer burden among Singaporean female population: A prospective simulation using proportional multistate lifetables.,Vaccine,Vaccine,2026,2026-03-28,eng,Journal Article,3,1,2,sti,Sexually-transmitted infections,sti,0,Papillomavirus Infections,Papillomavirus Infections|Human Papillomavirus Viruses|Uterine Cervical Neoplasms,Vaccine|Surveillance and epidemiology|Modelling,3,1,1,"Cooray, Upul","Peres, Marco A",Australia,Singapore,Duke-NUS Medical School,Australia|Singapore,Duke-NUS Medical School,sti_t2,"vaccines, health, program, national","vaccines, health, program, national, papillomavirus, vaccination, human, per",0.269965,0.224012,include,mechanical,INC-GEO-01,,pubmed,geo_sti_3|geo_sti_4,0
doi:10.1039/d6tb01365a,42506966,,10.1039/d6tb01365a,https://pubmed.ncbi.nlm.nih.gov/42506966/,Long-lasting antimicrobial surface coating.,Journal of materials chemistry. B,J Mater Chem B,2026,2026-08-05,eng,Journal Article,5,2,1,amr_hai,AMR and healthcare-associated infections,amr_hai,0,Anti-Bacterial Agents,Anti-Bacterial Agents|Microbial Sensitivity Tests,,0,1,0,"Wang, Jinquan","Zhang, Yugen",Singapore,Singapore,"Agency for Science, Technology and Research|Experimental Drug Development Centre",Singapore,"Agency for Science, Technology and Research|Experimental Drug Development Centre",amr_hai_t2,"agents, tests, activity, sensitivity","agents, tests, activity, sensitivity, antibacterial, anti-bacterial, animals, microbial",0.03771,0.300786,include,mechanical,INC-GEO-01,,pubmed,geo_amr_hai_4,0
doi:10.1016/j.ijbiomac.2026.153475,42431492,,10.1016/j.ijbiomac.2026.153475,https://pubmed.ncbi.nlm.nih.gov/42431492/,Lignin-reinforced film of curcumin-conjugated chitosan as photodynamically active antibacterial food packaging.,International journal of biological macromolecules,Int J Biol Macromol,2026,2026-07-10,eng,Journal Article,3,1,1,amr_hai,AMR and healthcare-associated infections,amr_hai,0,Anti-Bacterial Agents,Anti-Bacterial Agents|Escherichia coli,,0,1,0,"Vu, Trung Thang","Hadinoto, Kunn",Singapore,Singapore,Nanyang Technological University,Singapore,Nanyang Technological University,amr_hai_t2,"agents, tests, activity, sensitivity","agents, tests, activity, sensitivity, antibacterial, anti-bacterial, animals, microbial",0.519287,0.121338,include,mechanical,INC-GEO-01,,pubmed,geo_amr_hai_4,0
doi:10.1177/10872914261423775,41761618,,10.1177/10872914261423775,https://pubmed.ncbi.nlm.nih.gov/41761618/,Is Cognitive Care the Next Blind Spot in HIV Clinical Practice? Exploring the Facilitators and Barriers to Integrating Cognitive Care into Routine HIV Care in Malaysia: A Mixed Method Study.,AIDS patient care and STDs,AIDS Patient Care STDS,2026,2026-02-27,eng,Journal Article,14,2,4,sti,Sexually-transmitted infections,sti,0,HIV Infections,HIV Infections|Qualitative Research|Interviews as Topic,,0,0,1,"Hasmukharay, Kejal","Rajasuriar, Reena",Malaysia,Malaysia,National University of Singapore,Malaysia|Singapore|Thailand|United States,National University of Singapore|University of Malaya,sti_t1,"hiv, therapy, male, infections","hiv, therapy, male, infections, people, living, infection, agents",0.605539,0.689099,include,mechanical,INC-GEO-01,regional_participation,pubmed,geo_sti_2|geo_sti_3|geo_sti_4,0
doi:10.1016/j.ijid.2026.109062,42641940,,10.1016/j.ijid.2026.109062,https://pubmed.ncbi.nlm.nih.gov/42641940/,Investigating the effectiveness of multimodal data in forecasting SARS-COV-2 case surges.,International journal of infectious diseases : IJID : official publication of the International Society for Infectious Diseases,Int J Infect Dis,2026,2026-08-25,eng,Journal Article,7,3,3,rti,Respiratory-tract infections,rti,0,Other/unspecified,,Surveillance and epidemiology,1,1,1,"Raghuvamsi, Palur Venkata","Maurer-Stroh, Sebastian",Singapore,Singapore,"Agency for Science, Technology and Research|Bioinformatics Institute|National University of Singapore",Netherlands|New Zealand|Singapore,"Agency for Science, Technology and Research|Bioinformatics Institute|National University of Singapore",rti_t5,"social, health, public, key","social, health, public, key, policy, diverse, based, framework",0.390611,0.262941,include,mechanical,INC-GEO-01,,pubmed,geo_rti_1|geo_rti_3,0
doi:10.1016/j.mmcr.2026.100815,42604071,PMC13476714,10.1016/j.mmcr.2026.100815,https://pubmed.ncbi.nlm.nih.gov/42604071/,Invasive pulmonary aspergillosis following mild Covid-19 in an autologous hematopoietic stem cell transplant recipient: A case report.,Medical mycology case reports,Med Mycol Case Rep,2026,2026-08-03,eng,Case Reports|Journal Article,4,2,1,rti,Respiratory-tract infections,rti,0,Other/unspecified,,Case study,1,1,0,"Madhukumar, Lekshmi","Wong, Hei Man",Singapore,Singapore,SingHealth|Singapore General Hospital,Singapore,SingHealth|Singapore General Hospital,rti_t4,"acute, severe, respiratory, pneumonia","acute, severe, respiratory, pneumonia, admission, syndrome, median, failure",0.520443,0.834232,include,mechanical,INC-GEO-01,,pubmed,geo_rti_1|geo_rti_3,0
doi:10.1111/jcmm.71143,42087359,PMC13143871,10.1111/jcmm.71143,https://pubmed.ncbi.nlm.nih.gov/42087359/,Integrating Flow Cytometry in the Diagnostic Work of HIV-Associated Hodgkin's Lymphomas.,Journal of cellular and molecular medicine,J Cell Mol Med,2026,2026-May-01,eng,Journal Article|Case Reports|Review,24,2,6,sti,Sexually-transmitted infections,sti,0,HIV Infections,HIV Infections,,0,0,1,"Santa, Maria","Tomuleasa, Ciprian",Romania,Romania,SingHealth,Botswana|Romania|Rwanda|Singapore|Spain|United States,Harvard University|SingHealth,sti_t1,"hiv, therapy, male, infections","hiv, therapy, male, infections, people, living, infection, agents",0.787777,0.41088,include,mechanical,INC-GEO-01,regional_participation,pubmed,geo_sti_1|geo_sti_3|geo_sti_4,0
doi:10.1007/s00210-026-05627-9,42347876,,10.1007/s00210-026-05627-9,https://pubmed.ncbi.nlm.nih.gov/42347876/,Integrated phenotypic-genotypic characterization of antimicrobial resistance in uropathogens: implications for targeted therapy in a North Indian cohort.,Naunyn-Schmiedeberg's archives of pharmacology,Naunyn Schmiedebergs Arch Pharmacol,2026,2026-06-25,eng,Journal Article,6,1,2,amr_hai,AMR and healthcare-associated infections,amr_hai,0,Other/unspecified,,Genomics|Treatment,2,0,1,"Mir, Tanveer Ahmad","Ganai, Bashir Ahmad",India,India,Nanyang Technological University,India|Singapore,Nanyang Technological University,amr_hai_t2,"agents, tests, activity, sensitivity","agents, tests, activity, sensitivity, antibacterial, anti-bacterial, animals, microbial",0.721476,0.336956,include,mechanical,INC-GEO-01,,pubmed,geo_amr_hai_2|geo_amr_hai_3,0
doi:10.1016/j.ijbiomac.2026.153190,42336007,,10.1016/j.ijbiomac.2026.153190,https://pubmed.ncbi.nlm.nih.gov/42336007/,Injectable vancomycin-conjugated polysaccharide-protein hydrogel for targeted antibacterial therapy in musculoskeletal infections.,International journal of biological macromolecules,Int J Biol Macromol,2026,2026-06-23,eng,Journal Article,9,1,2,amr_hai,AMR and healthcare-associated infections,amr_hai,0,Anti-Bacterial Agents,Anti-Bacterial Agents|Methicillin-Resistant Staphylococcus aureus,Infection prevention and control,1,0,1,"Huang, Yu-Min","Wong, Chin-Chean",Taiwan,Taiwan,Woodlands Health,Singapore|Taiwan,Woodlands Health,amr_hai_t2,"agents, tests, activity, sensitivity","agents, tests, activity, sensitivity, antibacterial, anti-bacterial, animals, microbial",0.253792,0.331605,include,mechanical,INC-GEO-01,,pubmed,geo_amr_hai_3|geo_amr_hai_4|geo_amr_hai_5,0
doi:10.1128/aac.01561-25,42363832,PMC13435738,10.1128/aac.01561-25,https://pubmed.ncbi.nlm.nih.gov/42363832/,Inhibition of PfCLK3 interferes with malaria parasite RNA splicing and explains the mechanism of action of a new class of antimalarial candidates.,Antimicrobial agents and chemotherapy,Antimicrob Agents Chemother,2026,2026-06-22,eng,Journal Article,9,1,2,vector_borne,Vector-borne diseases,vector_borne,0,Other/unspecified,,,0,0,1,"Janha, Omar","Modrzynska, Katarzyna",United Kingdom,United Kingdom,Nanyang Technological University,Singapore|United Kingdom,Nanyang Technological University,vector_borne_t3,"malaria, plasmodium, cell, cells","malaria, plasmodium, cell, cells, responsible, parasite, erythrocytes, binding",0.124755,0.534952,include,mechanical,INC-GEO-01,,pubmed,geo_vector_borne_2|geo_vector_borne_4,0
doi:10.1016/j.ebiom.2026.106290,42107906,PMC13187534,10.1016/j.ebiom.2026.106290,https://pubmed.ncbi.nlm.nih.gov/42107906/,Influence of obesity on susceptibility to systemic symptoms and host responses to orthoflaviviral infection: a prospective observational study using yellow fever vaccine to simulate acute infection.,EBioMedicine,EBioMedicine,2026,2026-05-09,eng,Journal Article|Observational Study,15,4,1,vector_borne,Vector-borne diseases,vector_borne,0,Other/unspecified,,Vaccine,1,1,0,"Syenina, Ayesa","Ooi, Eng Eong",Singapore,Singapore,Duke-NUS Medical School|National University of Singapore|SingHealth|Singapore General Hospital,Singapore,Duke-NUS Medical School|National University of Singapore|SingHealth|Singapore General Hospital,vector_borne_t1,"infection, fever, although, male","infection, fever, although, male, aged, adult, yellow, zikv",0.547488,0.502547,include,mechanical,INC-GEO-01,,pubmed,geo_vector_borne_3|geo_vector_borne_4,0
doi:10.1016/j.eclinm.2026.104163,42699010,PMC13543797,10.1016/j.eclinm.2026.104163,https://pubmed.ncbi.nlm.nih.gov/42699010/,Infection-triggered encephalopathy syndromes: a meta-analysis of clinical characteristics and outcomes in 1946 cases.,EClinicalMedicine,EClinicalMedicine,2026,2026-08-26,eng,Journal Article,15,3,8,rti,Respiratory-tract infections,rti,0,Other/unspecified,,,0,0,1,"Eyre, Michael","Dale, Russell C",United Kingdom,Australia,KK Women's and Children's Hospital|National University Health System|National University of Singapore,Australia|China|Italy|Japan|Malaysia|New Zealand|Singapore|United Kingdom,KK Women's and Children's Hospital|National University Health System|National University of Singapore,rti_t4,"acute, severe, respiratory, pneumonia","acute, severe, respiratory, pneumonia, admission, syndrome, median, failure",0.815914,0.792317,include,mechanical,INC-GEO-01,regional_participation,pubmed,geo_all_id_2|geo_rti_2|geo_rti_3,0
doi:10.1002/jmv.70892,41891492,,10.1002/jmv.70892,https://pubmed.ncbi.nlm.nih.gov/41891492/,Infection With Human T-Lymphotropic Virus 1 (HTLV-1) in Ivory Coast.,Journal of medical virology,J Med Virol,2026,2026-Apr-01,eng,Journal Article,6,0,3,sti,Sexually-transmitted infections,sti,0,HIV Infections,HIV Infections,Genomics,1,0,1,"Konan, Bérenger","Soriano, Vicente",Côte d'Ivoire,Spain,,Côte d'Ivoire|Singapore|Spain,,sti_t1,"hiv, therapy, male, infections","hiv, therapy, male, infections, people, living, infection, agents",0.694125,0.456088,include,mechanical,INC-GEO-01,,pubmed,geo_sti_3|geo_sti_4,0
doi:10.1097/bot.0000000000003199,42048060,,10.1097/bot.0000000000003199,https://pubmed.ncbi.nlm.nih.gov/42048060/,Infection Rate by Gustilo-Anderson Classification in Open Tibial Shaft Fractures Treated With an Intramedullary Nail-A Meta-Analysis.,Journal of orthopaedic trauma,J Orthop Trauma,2026,2026-Sep-01,eng,Journal Article|Meta-Analysis|Systematic Review,13,2,2,amr_hai,AMR and healthcare-associated infections,amr_hai,0,Surgical Wound Infection,Surgical Wound Infection,,0,0,1,"Schermerhorn, Janse T","O'Toole, Robert V",,,Duke-NUS Medical School,Singapore|United States,Duke-NUS Medical School|Johns Hopkins University,amr_hai_t1,"infection, hospital, included, prevention","infection, hospital, included, prevention, conducted, outcomes, january, interventions",0.282514,1.0,include,mechanical,INC-GEO-01,,pubmed,geo_amr_hai_5,0
doi:10.47102/annals-acadmedsg.2025321,41773819,,10.47102/annals-acadmedsg.2025321,https://pubmed.ncbi.nlm.nih.gov/41773819/,Incidence and risk factors for tuberculosis in patients with chronic kidney disease in Singapore.,"Annals of the Academy of Medicine, Singapore",Ann Acad Med Singap,2026,2026-02-04,eng,Journal Article,6,3,1,tb,Tuberculosis,tb,0,Tuberculosis,"Tuberculosis|Tuberculosis, Pulmonary",Surveillance and epidemiology,1,1,0,"Metussin, Dhiya","Ng, Deborah Hee Ling",Singapore,Singapore,Communicable Diseases Agency|National Centre for Infectious Diseases|Tan Tock Seng Hospital,Singapore,Communicable Diseases Agency|National Centre for Infectious Diseases|Tan Tock Seng Hospital,tb_t2,"diagnosis, diagnostic, conducted, systematic","diagnosis, diagnostic, conducted, systematic, included, characteristics, symptoms, age",0.353387,0.465865,include,mechanical,INC-GEO-01,,pubmed,geo_tb_4,0
doi:10.1017/ash.2025.10149,41625130,PMC12854876,10.1017/ash.2025.10149,https://pubmed.ncbi.nlm.nih.gov/41625130/,Incidence and risk factors for hospital-attributable central line-associated bloodstream infections in adult inpatients in a tertiary hospital.,Antimicrobial stewardship & healthcare epidemiology : ASHE,Antimicrob Steward Healthc Epidemiol,2026,2026-01-29,eng,Journal Article,12,1,1,amr_hai,AMR and healthcare-associated infections,amr_hai,0,Other/unspecified,,Surveillance and epidemiology|Clinical studies|Infection prevention and control,3,1,0,"Arora, Shalvi","Ling, Moi Lin",Singapore,Singapore,Singapore General Hospital,Singapore,Singapore General Hospital,amr_hai_t1,"infection, hospital, included, prevention","infection, hospital, included, prevention, conducted, outcomes, january, interventions",0.446608,0.931743,include,mechanical,INC-GEO-01,,pubmed,geo_amr_hai_2,0
doi:10.3390/pathogens15040437,42075764,PMC13118952,10.3390/pathogens15040437,https://pubmed.ncbi.nlm.nih.gov/42075764/,Imported Pediatric Lyme Disease in Singapore-A Case Series.,"Pathogens (Basel, Switzerland)",Pathogens,2026,2026-04-17,eng,Case Reports|Journal Article,6,3,1,vector_borne,Vector-borne diseases,vector_borne|amr_hai,1,Other/unspecified,,Case study|Treatment,2,1,0,"Tan, Ade Xin Ning","Tan, Natalie Woon Hui",Singapore,Singapore,KK Women's and Children's Hospital|Nanyang Technological University|National University of Singapore,Singapore,KK Women's and Children's Hospital|Nanyang Technological University|National University of Singapore,vector_borne_t1,"infection, fever, although, male","infection, fever, although, male, aged, adult, yellow, zikv",0.56597,0.853578,include,mechanical,INC-GEO-01,,pubmed,geo_vector_borne_2|geo_vector_borne_3|geo_vector_borne_4,0
