edge_id,pair_id,domain,path_order,node_id,label,x,y,weight,source,target,is_cross_border,involves_singapore
Canada--Singapore#tb,Canada--Singapore,tb,2,Singapore,Singapore,0.429978,0.539306,10,Canada,Singapore,1,1
Switzerland--United States#tb,Switzerland--United States,tb,1,Switzerland,Switzerland,0.407049,0.531378,10,Switzerland,United States,1,0
Switzerland--United States#tb,Switzerland--United States,tb,2,United States,United States,0.440022,0.576858,10,Switzerland,United States,1,0
Indonesia--Singapore#tb,Indonesia--Singapore,tb,1,Indonesia,Indonesia,0.369414,0.492144,10,Indonesia,Singapore,1,1
Indonesia--Singapore#tb,Indonesia--Singapore,tb,2,Singapore,Singapore,0.429978,0.539306,10,Indonesia,Singapore,1,1
South Africa--United Kingdom#tb,South Africa--United Kingdom,tb,1,South Africa,South Africa,0.354082,0.657729,10,South Africa,United Kingdom,1,0
South Africa--United Kingdom#tb,South Africa--United Kingdom,tb,2,United Kingdom,United Kingdom,0.355643,0.570016,10,South Africa,United Kingdom,1,0
Malaysia--Singapore#vector_borne,Malaysia--Singapore,vector_borne,1,Malaysia,Malaysia,0.277414,0.425437,9,Malaysia,Singapore,1,1
Malaysia--Singapore#vector_borne,Malaysia--Singapore,vector_borne,2,Singapore,Singapore,0.429978,0.539306,9,Malaysia,Singapore,1,1
Singapore--Switzerland#vector_borne,Singapore--Switzerland,vector_borne,1,Singapore,Singapore,0.429978,0.539306,9,Singapore,Switzerland,1,1
Singapore--Switzerland#vector_borne,Singapore--Switzerland,vector_borne,2,Switzerland,Switzerland,0.407049,0.531378,9,Singapore,Switzerland,1,1
China--Singapore#vector_borne,China--Singapore,vector_borne,1,China,China,0.331977,0.597918,9,China,Singapore,1,1
China--Singapore#vector_borne,China--Singapore,vector_borne,2,Singapore,Singapore,0.429978,0.539306,9,China,Singapore,1,1
Singapore--Thailand#amr_hai,Singapore--Thailand,amr_hai,1,Singapore,Singapore,0.429978,0.539306,9,Singapore,Thailand,1,1
Singapore--Thailand#amr_hai,Singapore--Thailand,amr_hai,2,Thailand,Thailand,0.336992,0.46232,9,Singapore,Thailand,1,1
Ethiopia--Singapore#tb,Ethiopia--Singapore,tb,1,Ethiopia,Ethiopia,0.413066,0.448775,9,Ethiopia,Singapore,1,1
Ethiopia--Singapore#tb,Ethiopia--Singapore,tb,2,Singapore,Singapore,0.429978,0.539306,9,Ethiopia,Singapore,1,1
Ethiopia--United States#tb,Ethiopia--United States,tb,1,Ethiopia,Ethiopia,0.413066,0.448775,9,Ethiopia,United States,1,0
Ethiopia--United States#tb,Ethiopia--United States,tb,2,United States,United States,0.440022,0.576858,9,Ethiopia,United States,1,0
France--Pakistan#tb,France--Pakistan,tb,1,France,France,0.37365,0.542016,9,France,Pakistan,1,0
France--Pakistan#tb,France--Pakistan,tb,2,Pakistan,Pakistan,0.35634,0.418637,9,France,Pakistan,1,0
Pakistan--United Kingdom#tb,Pakistan--United Kingdom,tb,1,Pakistan,Pakistan,0.35634,0.418637,9,Pakistan,United Kingdom,1,0
Pakistan--United Kingdom#tb,Pakistan--United Kingdom,tb,2,United Kingdom,United Kingdom,0.355643,0.570016,9,Pakistan,United Kingdom,1,0
Pakistan--United States#tb,Pakistan--United States,tb,1,Pakistan,Pakistan,0.35634,0.418637,9,Pakistan,United States,1,0
Pakistan--United States#tb,Pakistan--United States,tb,2,United States,United States,0.440022,0.576858,9,Pakistan,United States,1,0
France--South Africa#tb,France--South Africa,tb,1,France,France,0.37365,0.542016,9,France,South Africa,1,0
France--South Africa#tb,France--South Africa,tb,2,South Africa,South Africa,0.354082,0.657729,9,France,South Africa,1,0
Australia--United States#tb,Australia--United States,tb,1,Australia,Australia,0.390756,0.648197,8,Australia,United States,1,0
Australia--United States#tb,Australia--United States,tb,2,United States,United States,0.440022,0.576858,8,Australia,United States,1,0
Canada--United Kingdom#tb,Canada--United Kingdom,tb,1,Canada,Canada,0.429902,0.670838,8,Canada,United Kingdom,1,0
Canada--United Kingdom#tb,Canada--United Kingdom,tb,2,United Kingdom,United Kingdom,0.355643,0.570016,8,Canada,United Kingdom,1,0
Australia--United Kingdom#amr_hai,Australia--United Kingdom,amr_hai,1,Australia,Australia,0.390756,0.648197,8,Australia,United Kingdom,1,0
Australia--United Kingdom#amr_hai,Australia--United Kingdom,amr_hai,2,United Kingdom,United Kingdom,0.355643,0.570016,8,Australia,United Kingdom,1,0
