node_id,label,country,region,sector,iso3,is_singapore,x,y,degree,weighted_degree,n_publications
Taiwan,Taiwan,Taiwan,East Asia,,TWN,0,0.310266,0.423686,29,89,15
Tanzania,Tanzania,Tanzania,Africa,,TZA,0,0.324634,0.135604,3,5,2
Thailand,Thailand,Thailand,Southeast Asia,,THA,0,0.336992,0.46232,39,155,31
Timor-Leste,Timor-Leste,Timor-Leste,Southeast Asia,,TLS,0,0.217655,0.344437,18,18,1
Tunisia,Tunisia,Tunisia,Africa,,TUN,0,0.18816,0.697743,10,10,1
Türkiye,Türkiye,Türkiye,Europe,,TUR,0,0.411167,0.293179,10,12,2
Uganda,Uganda,Uganda,Africa,,UGA,0,0.542037,0.561668,17,26,4
Ukraine,Ukraine,Ukraine,Europe,,UKR,0,0.496983,0.760106,16,16,1
United Arab Emirates,United Arab Emirates,United Arab Emirates,Middle East,,ARE,0,0.640317,0.658054,10,10,1
United Kingdom,United Kingdom,United Kingdom,Europe,,GBR,0,0.355643,0.570016,67,475,91
United States,United States,United States,North America,,USA,0,0.440022,0.576858,73,438,99
Viet Nam,Viet Nam,Viet Nam,Southeast Asia,,VNM,0,0.306341,0.520662,43,158,21
Zambia,Zambia,Zambia,Africa,,ZMB,0,0.452671,0.736174,19,24,3
Zimbabwe,Zimbabwe,Zimbabwe,Africa,,ZWE,0,0.459498,0.790704,16,16,1
