uid,domain_id,domain_label,is_primary,domain_score,year,singapore_led
doi:10.1016/j.ijid.2026.108932,rti,Respiratory-tract infections,1,34,2026,1
doi:10.1371/journal.pmed.1005205,amr_hai,AMR and healthcare-associated infections,1,16,2026,0
doi:10.1093/pnasnexus/pgag273,amr_hai,AMR and healthcare-associated infections,1,6,2026,1
doi:10.1093/ofid/ofag422,vector_borne,Vector-borne diseases,1,9,2026,0
doi:10.3390/pathogens15050511,vector_borne,Vector-borne diseases,1,9,2026,1
doi:10.1017/ash.2026.10298,amr_hai,AMR and healthcare-associated infections,1,12,2026,1
doi:10.1371/journal.pntd.0014382,vector_borne,Vector-borne diseases,1,12,2026,0
doi:10.1038/s41598-026-57407-3,tb,Tuberculosis,1,34,2026,1
doi:10.1016/j.actatropica.2026.108305,vector_borne,Vector-borne diseases,1,21,2026,1
doi:10.1093/jac/dkag215,amr_hai,AMR and healthcare-associated infections,1,6,2026,0
doi:10.1093/cid/ciag538,other_id,Other infectious disease,1,,2026,0
doi:10.1080/22221751.2026.2665001,other_id,Other infectious disease,1,,2026,1
doi:10.1136/bmjgh-2025-019100,sti,Sexually-transmitted infections,1,12,2026,1
doi:10.47102/annals-acadmedsg.2026237,amr_hai,AMR and healthcare-associated infections,1,39,2026,1
doi:10.47102/annals-acadmedsg.2026237,rti,Respiratory-tract infections,0,6,2026,1
doi:10.4103/tp.tp_51_25,vector_borne,Vector-borne diseases,1,6,2026,0
doi:10.1038/s41598-026-55917-8,tb,Tuberculosis,1,8,2026,1
doi:10.1016/j.celrep.2026.117311,tb,Tuberculosis,1,12,2026,1
doi:10.1016/j.celrep.2026.117311,amr_hai,AMR and healthcare-associated infections,0,6,2026,1
doi:10.1038/s44321-026-00378-9,tb,Tuberculosis,1,27,2026,1
doi:10.1038/s44321-026-00378-9,amr_hai,AMR and healthcare-associated infections,0,6,2026,1
doi:10.1128/mbio.03518-25,amr_hai,AMR and healthcare-associated infections,1,33,2026,0
doi:10.3390/insects17070716,vector_borne,Vector-borne diseases,1,22,2026,1
doi:10.1021/acs.jmedchem.5c01616,tb,Tuberculosis,1,24,2026,1
pmid:42525700,vector_borne,Vector-borne diseases,1,23,2026,0
doi:10.1021/acssensors.6c00688,rti,Respiratory-tract infections,1,46,2026,0
doi:10.7759/cureus.101901,sti,Sexually-transmitted infections,1,6,2026,1
doi:10.1021/acs.est.6c03391,amr_hai,AMR and healthcare-associated infections,1,12,2026,0
doi:10.1021/acssensors.5c04309,amr_hai,AMR and healthcare-associated infections,1,8,2026,0
doi:10.1016/j.mtbio.2026.103530,other_id,Other infectious disease,1,,2026,1
doi:10.1016/j.socscimed.2026.119146,sti,Sexually-transmitted infections,1,22,2026,1
doi:10.3390/insects17080770,vector_borne,Vector-borne diseases,1,10,2026,1
doi:10.1080/21505594.2025.2580163,vector_borne,Vector-borne diseases,1,70,2025,1
doi:10.1016/s1473-3099(24)00794-1,vector_borne,Vector-borne diseases,1,23,2025,0
doi:10.1016/j.survophthal.2025.09.011,tb,Tuberculosis,1,6,2025,1
doi:10.1016/j.ajic.2025.11.002,rti,Respiratory-tract infections,1,40,2025,1
doi:10.1016/j.ajic.2025.11.002,amr_hai,AMR and healthcare-associated infections,0,24,2025,1
doi:10.1186/s13063-025-08887-7,tb,Tuberculosis,1,31,2025,0
doi:10.1186/s13063-025-08887-7,amr_hai,AMR and healthcare-associated infections,0,6,2025,0
doi:10.1007/s10461-025-04964-9,sti,Sexually-transmitted infections,1,45,2025,1
doi:10.1093/cid/ciae601,tb,Tuberculosis,1,50,2025,1
doi:10.1093/cid/ciae601,amr_hai,AMR and healthcare-associated infections,0,6,2025,1
doi:10.1186/s13756-025-01656-w,amr_hai,AMR and healthcare-associated infections,1,17,2025,1
doi:10.1038/s41598-025-86139-z,vector_borne,Vector-borne diseases,1,65,2025,1
doi:10.1093/ofid/ofaf610,amr_hai,AMR and healthcare-associated infections,1,15,2025,0
doi:10.1128/jvi.01597-25,sti,Sexually-transmitted infections,1,28,2025,0
doi:10.1016/j.infpip.2025.100492,rti,Respiratory-tract infections,1,20,2025,1
doi:10.1016/j.infpip.2025.100492,amr_hai,AMR and healthcare-associated infections,0,18,2025,1
doi:10.47102/annals-acadmedsg.2025246,tb,Tuberculosis,1,29,2025,1
doi:10.1128/spectrum.01353-25,tb,Tuberculosis,1,42,2025,1
doi:10.1186/s41182-025-00846-x,tb,Tuberculosis,1,11,2025,1
doi:10.1186/s41182-025-00846-x,sti,Sexually-transmitted infections,0,6,2025,1
doi:10.1016/s2214-109x(25)00105-6,tb,Tuberculosis,1,18,2025,0
doi:10.1038/s41467-025-65976-6,amr_hai,AMR and healthcare-associated infections,1,22,2025,0
doi:10.47102/annals-acadmedsg.2025240,sti,Sexually-transmitted infections,1,40,2025,1
doi:10.1016/j.vaccine.2025.126728,vector_borne,Vector-borne diseases,1,18,2025,1
doi:10.1016/s1473-3099(25)00157-4,tb,Tuberculosis,1,48,2025,0
doi:10.1016/s1473-3099(25)00157-4,sti,Sexually-transmitted infections,0,12,2025,0
doi:10.1016/s1473-3099(25)00157-4,amr_hai,AMR and healthcare-associated infections,0,6,2025,0
doi:10.1016/j.ijid.2025.108054,tb,Tuberculosis,1,14,2025,1
doi:10.1016/j.intf.2025.100335,other_id,Other infectious disease,1,,2025,1
doi:10.1016/j.infpip.2025.100495,amr_hai,AMR and healthcare-associated infections,1,9,2025,1
doi:10.1038/s41467-025-66606-x,sti,Sexually-transmitted infections,1,32,2025,1
doi:10.1016/j.celrep.2025.116098,vector_borne,Vector-borne diseases,1,42,2025,0
doi:10.47102/annals-acadmedsg.2025336,sti,Sexually-transmitted infections,1,18,2025,1
doi:10.3390/ijms262411784,sti,Sexually-transmitted infections,1,39,2025,0
doi:10.1186/s12889-025-25357-6,sti,Sexually-transmitted infections,1,29,2025,1
doi:10.3390/pathogens14030285,vector_borne,Vector-borne diseases,1,63,2025,0
doi:10.1186/s12889-025-24934-z,tb,Tuberculosis,1,17,2025,1
doi:10.1186/s12889-025-24934-z,amr_hai,AMR and healthcare-associated infections,0,6,2025,1
doi:10.1128/spectrum.02725-25,other_id,Other infectious disease,1,,2025,1
doi:10.1016/j.jhin.2025.11.043,amr_hai,AMR and healthcare-associated infections,1,43,2025,1
doi:10.1016/s1473-3099(25)00151-3,tb,Tuberculosis,1,85,2025,1
doi:10.1136/bmjresp-2025-003777,tb,Tuberculosis,1,35,2025,0
doi:10.1136/bmjresp-2025-003777,amr_hai,AMR and healthcare-associated infections,0,6,2025,0
doi:10.1101/2025.08.20.25334077,tb,Tuberculosis,1,23,2025,0
doi:10.1101/2025.08.20.25334077,amr_hai,AMR and healthcare-associated infections,0,6,2025,0
doi:10.1073/pnas.2421573122,vector_borne,Vector-borne diseases,1,45,2025,0
doi:10.1038/s41467-025-66413-4,amr_hai,AMR and healthcare-associated infections,1,21,2025,1
doi:10.1007/s00408-024-00779-y,tb,Tuberculosis,1,20,2025,1
doi:10.1016/j.idc.2025.11.009,amr_hai,AMR and healthcare-associated infections,1,36,2025,1
doi:10.1016/j.idc.2025.11.005,amr_hai,AMR and healthcare-associated infections,1,21,2025,1
doi:10.1016/j.idc.2025.11.003,amr_hai,AMR and healthcare-associated infections,1,16,2025,1
doi:10.1186/s12964-025-02588-z,vector_borne,Vector-borne diseases,1,18,2025,1
doi:10.1016/j.ajic.2025.10.025,amr_hai,AMR and healthcare-associated infections,1,29,2025,1
doi:10.1002/jia2.70052,sti,Sexually-transmitted infections,1,15,2025,0
doi:10.1038/s41467-025-66411-6,vector_borne,Vector-borne diseases,1,42,2025,1
doi:10.1016/j.arbres.2025.09.017,tb,Tuberculosis,1,22,2025,1
doi:10.1038/s41591-025-04041-7,sti,Sexually-transmitted infections,1,30,2025,0
doi:10.7759/cureus.100362,tb,Tuberculosis,1,14,2025,1
doi:10.1016/s2213-2600(25)00194-8,tb,Tuberculosis,1,57,2025,0
doi:10.1016/s2213-2600(25)00194-8,amr_hai,AMR and healthcare-associated infections,0,9,2025,0
doi:10.3389/fmicb.2025.1711400,amr_hai,AMR and healthcare-associated infections,1,18,2025,0
doi:10.1073/pnas.2502522122,vector_borne,Vector-borne diseases,1,28,2025,1
doi:10.1021/acs.analchem.5c05609,amr_hai,AMR and healthcare-associated infections,1,8,2025,1
doi:10.1021/acs.analchem.5c05609,tb,Tuberculosis,0,4,2025,1
doi:10.3390/pathogens14080741,tb,Tuberculosis,1,48,2025,0
doi:10.3390/pathogens14080741,sti,Sexually-transmitted infections,0,12,2025,0
doi:10.1186/s12916-025-03941-2,vector_borne,Vector-borne diseases,1,52,2025,1
doi:10.1101/2025.10.26.684512,other_id,Other infectious disease,1,,2025,1
doi:10.1002/pro.5142,vector_borne,Vector-borne diseases,1,27,2024,0
doi:10.1186/s12915-024-02070-1,vector_borne,Vector-borne diseases,1,52,2024,1
doi:10.1183/16000617.0208-2023,tb,Tuberculosis,1,20,2024,1
doi:10.1016/j.ijid.2024.107768,tb,Tuberculosis,1,35,2024,1
doi:10.1038/s41467-024-48077-8,tb,Tuberculosis,1,53,2024,0
doi:10.1038/s41467-024-48077-8,amr_hai,AMR and healthcare-associated infections,0,6,2024,0
doi:10.47102/annals-acadmedsg.2023391,tb,Tuberculosis,1,28,2024,1
doi:10.1038/s41467-024-54419-3,tb,Tuberculosis,1,36,2024,1
doi:10.1016/s2213-2600(24)00186-3,tb,Tuberculosis,1,42,2024,0
doi:10.1016/s2213-2600(24)00186-3,amr_hai,AMR and healthcare-associated infections,0,6,2024,0
doi:10.1016/s2213-2600(24)00186-3,sti,Sexually-transmitted infections,0,5,2024,0
doi:10.1007/s12104-024-10208-z,vector_borne,Vector-borne diseases,1,12,2024,1
doi:10.1186/s12874-024-02291-6,vector_borne,Vector-borne diseases,1,52,2024,1
doi:10.1016/s2542-5196(24)00169-4,vector_borne,Vector-borne diseases,1,52,2024,1
doi:10.1186/s12879-024-10027-6,tb,Tuberculosis,1,52,2024,1
doi:10.1186/s12879-024-10027-6,amr_hai,AMR and healthcare-associated infections,0,6,2024,1
doi:10.1016/j.cell.2024.10.028,vector_borne,Vector-borne diseases,1,18,2024,1
doi:10.1016/j.ijid.2024.107221,tb,Tuberculosis,1,14,2024,0
doi:10.1016/s2666-5247(24)00149-6,tb,Tuberculosis,1,36,2024,0
doi:10.1016/s2666-5247(24)00149-6,amr_hai,AMR and healthcare-associated infections,0,6,2024,0
doi:10.1016/j.ebiom.2024.105456,vector_borne,Vector-borne diseases,1,64,2024,1
doi:10.1093/jtm/taae103,vector_borne,Vector-borne diseases,1,58,2024,1
doi:10.1093/infdis/jiae104,tb,Tuberculosis,1,45,2024,1
doi:10.1038/s42003-024-06822-1,tb,Tuberculosis,1,20,2024,0
