uid,domain_id,domain_label,is_primary,domain_score,year,singapore_led
doi:10.1017/ash.2025.10149,amr_hai,AMR and healthcare-associated infections,1,15,2026,1
doi:10.3390/pathogens15040437,vector_borne,Vector-borne diseases,1,9,2026,1
doi:10.3390/pathogens15040437,amr_hai,AMR and healthcare-associated infections,0,4,2026,1
doi:10.1128/spectrum.01571-26,amr_hai,AMR and healthcare-associated infections,1,21,2026,0
doi:10.1016/j.jhin.2026.08.011,amr_hai,AMR and healthcare-associated infections,1,12,2026,1
doi:10.4103/singaporemedj.smj-2025-222,rti,Respiratory-tract infections,1,15,2026,1
doi:10.1126/sciimmunol.adz5647,vector_borne,Vector-borne diseases,1,20,2026,1
doi:10.1371/journal.pgph.0006971,tb,Tuberculosis,1,12,2026,0
doi:10.1093/jimmun/vkag189,rti,Respiratory-tract infections,1,40,2026,0
doi:10.3390/antibiotics15070671,amr_hai,AMR and healthcare-associated infections,1,6,2026,1
doi:10.1080/21505594.2026.2711530,vector_borne,Vector-borne diseases,1,36,2026,1
doi:10.1001/jamadermatol.2026.0308,sti,Sexually-transmitted infections,1,15,2026,1
doi:10.1038/s44528-026-00009-2,rti,Respiratory-tract infections,1,6,2026,0
doi:10.1016/j.idm.2026.03.002,sti,Sexually-transmitted infections,1,16,2026,0
doi:10.1016/j.ijid.2026.108545,tb,Tuberculosis,1,20,2026,1
