uid,type_id,type_label,type_score,year,primary_domain
doi:10.1007/s00210-026-05627-9,treatment,Treatment,3,2026,amr_hai
doi:10.1016/j.ijbiomac.2026.153190,infection_prevention_control,Infection prevention and control,6,2026,amr_hai
doi:10.1016/j.ebiom.2026.106290,vaccine,Vaccine,8,2026,vector_borne
doi:10.1002/jmv.70892,genomics,Genomics,6,2026,sti
doi:10.47102/annals-acadmedsg.2025321,surveillance_epidemiology,Surveillance and epidemiology,4,2026,tb
doi:10.1017/ash.2025.10149,surveillance_epidemiology,Surveillance and epidemiology,4,2026,amr_hai
doi:10.1017/ash.2025.10149,clinical_studies,Clinical studies,3,2026,amr_hai
doi:10.1017/ash.2025.10149,infection_prevention_control,Infection prevention and control,3,2026,amr_hai
doi:10.3390/pathogens15040437,case_study,Case study,6,2026,vector_borne
doi:10.3390/pathogens15040437,treatment,Treatment,6,2026,vector_borne
doi:10.1128/spectrum.01571-26,clinical_studies,Clinical studies,6,2026,amr_hai
doi:10.1128/spectrum.01571-26,detection,Detection,6,2026,amr_hai
doi:10.1128/spectrum.01571-26,disease_management,Disease management,3,2026,amr_hai
doi:10.1016/j.jhin.2026.08.011,genomics,Genomics,8,2026,amr_hai
doi:10.1016/j.jhin.2026.08.011,infection_prevention_control,Infection prevention and control,6,2026,amr_hai
doi:10.1093/jimmun/vkag189,treatment,Treatment,12,2026,rti
doi:10.1093/jimmun/vkag189,basic_research,Basic research,8,2026,rti
doi:10.1001/jamadermatol.2026.0308,virology,Virology,8,2026,sti
doi:10.1001/jamadermatol.2026.0308,clinical_studies,Clinical studies,6,2026,sti
doi:10.1001/jamadermatol.2026.0308,genomics,Genomics,4,2026,sti
doi:10.1001/jamadermatol.2026.0308,surveillance_epidemiology,Surveillance and epidemiology,4,2026,sti
doi:10.1016/j.idm.2026.03.002,surveillance_epidemiology,Surveillance and epidemiology,4,2026,sti
doi:10.1016/j.idm.2026.03.002,vaccine,Vaccine,4,2026,sti
doi:10.1016/j.idm.2026.03.002,modelling,Modelling,3,2026,sti
doi:10.1016/j.mib.2026.102764,basic_research,Basic research,6,2026,amr_hai
doi:10.1099/mgen.0.001745,genomics,Genomics,16,2026,amr_hai
doi:10.1371/journal.pcbi.1014355,entomology,Entomology,19,2026,vector_borne
doi:10.3389/fcimb.2026.1847443,treatment,Treatment,5,2026,tb
doi:10.3389/fcimb.2026.1847443,detection,Detection,3,2026,tb
doi:10.1016/j.jhin.2026.03.037,infection_prevention_control,Infection prevention and control,9,2026,amr_hai
doi:10.1016/j.jhin.2026.03.037,clinical_studies,Clinical studies,6,2026,amr_hai
doi:10.1002/jmv.71078,genomics,Genomics,30,2026,vector_borne
doi:10.1002/jmv.71078,surveillance_epidemiology,Surveillance and epidemiology,10,2026,vector_borne
doi:10.1186/s13073-026-01670-6,genomics,Genomics,7,2026,tb
doi:10.1016/j.fm.2026.105164,basic_research,Basic research,6,2026,amr_hai
doi:10.1016/j.lanwpc.2026.101874,vaccine,Vaccine,13,2026,sti
doi:10.1016/j.ijpara.2026.104892,basic_research,Basic research,4,2026,vector_borne
doi:10.1016/j.ijid.2026.109084,clinical_studies,Clinical studies,8,2026,vector_borne
doi:10.3389/fpubh.2026.1785244,vaccine,Vaccine,17,2026,rti
doi:10.4103/singaporemedj.smj-2026-181,disease_management,Disease management,4,2026,rti
doi:10.4103/singaporemedj.smj-2026-182,disease_management,Disease management,4,2026,rti
doi:10.1093/jac/dkag263,modelling,Modelling,4,2026,amr_hai
doi:10.1186/s12889-026-26441-1,clinical_studies,Clinical studies,9,2026,sti
doi:10.1016/j.urolonc.2026.111091,clinical_studies,Clinical studies,3,2026,tb
doi:10.1093/aje/kwag024,treatment,Treatment,8,2026,tb
doi:10.1371/journal.pntd.0014222,entomology,Entomology,16,2026,vector_borne
doi:10.1371/journal.pntd.0014222,genomics,Genomics,4,2026,vector_borne
doi:10.3892/br.2026.2154,genomics,Genomics,4,2026,other_id
doi:10.3390/v18050485,case_study,Case study,4,2026,other_id
doi:10.1093/jpids/piag047,treatment,Treatment,10,2026,amr_hai
doi:10.1093/jpids/piag047,surveillance_epidemiology,Surveillance and epidemiology,4,2026,amr_hai
doi:10.1016/j.xcrm.2026.102714,basic_research,Basic research,8,2026,amr_hai
doi:10.1097/md.0000000000047358,treatment,Treatment,8,2026,sti
doi:10.1016/j.cmi.2026.01.032,treatment,Treatment,12,2026,amr_hai
doi:10.1016/j.cmi.2026.01.032,basic_research,Basic research,4,2026,amr_hai
doi:10.1016/j.lanhl.2026.100870,clinical_studies,Clinical studies,4,2026,rti
doi:10.1370/afm.250683,clinical_studies,Clinical studies,6,2026,sti
doi:10.1016/j.nedt.2026.107368,disease_management,Disease management,5,2026,rti
doi:10.1016/j.nedt.2026.107368,surveillance_epidemiology,Surveillance and epidemiology,5,2026,rti
doi:10.1016/j.nedt.2026.107368,infection_prevention_control,Infection prevention and control,3,2026,rti
doi:10.1007/s40273-026-01609-0,clinical_studies,Clinical studies,3,2026,amr_hai
doi:10.1371/journal.pcbi.1014313,modelling,Modelling,8,2026,sti
doi:10.1038/s41467-026-71566-x,genomics,Genomics,7,2026,tb
doi:10.1038/s41467-026-71566-x,basic_research,Basic research,5,2026,tb
doi:10.1186/s12879-026-13946-8,surveillance_epidemiology,Surveillance and epidemiology,10,2026,amr_hai
doi:10.1186/s12879-026-13946-8,genomics,Genomics,8,2026,amr_hai
doi:10.64898/2026.07.03.736289,virology,Virology,3,2026,vector_borne
doi:10.1016/j.pt.2026.06.011,entomology,Entomology,8,2026,vector_borne
doi:10.1371/journal.ppat.1013609,virology,Virology,6,2026,vector_borne
doi:10.1371/journal.ppat.1013609,treatment,Treatment,4,2026,vector_borne
doi:10.3389/fimmu.2026.1921846,vaccine,Vaccine,10,2026,rti
doi:10.3389/fimmu.2026.1921846,immunology,Immunology,6,2026,rti
doi:10.2196/87328,clinical_studies,Clinical studies,3,2026,rti
doi:10.1371/journal.pone.0351023,genomics,Genomics,17,2026,vector_borne
doi:10.1371/journal.pone.0351023,entomology,Entomology,14,2026,vector_borne
doi:10.1371/journal.pone.0351023,surveillance_epidemiology,Surveillance and epidemiology,3,2026,vector_borne
doi:10.1016/j.ejmech.2026.119130,modelling,Modelling,4,2026,vector_borne
doi:10.1016/j.ejmech.2026.119130,treatment,Treatment,4,2026,vector_borne
doi:10.1016/j.ejmech.2026.119130,virology,Virology,3,2026,vector_borne
doi:10.1002/biof.70105,entomology,Entomology,10,2026,vector_borne
doi:10.1002/biof.70105,genomics,Genomics,8,2026,vector_borne
