edge_id,pair_id,domain,path_order,node_id,label,x,y,weight,source,target,is_cross_border,involves_singapore
National University of Singapore--University of Oxford#vector_borne,National University of Singapore--University of Oxford,vector_borne,1,National University of Singapore,National University of Singapore,0.59751,0.507684,5,National University of Singapore,University of Oxford,1,1
National University of Singapore--University of Oxford#vector_borne,National University of Singapore--University of Oxford,vector_borne,2,University of Oxford,University of Oxford,0.658401,0.434596,5,National University of Singapore,University of Oxford,1,1
Nanyang Technological University--National University of Singapore#rti,Nanyang Technological University--National University of Singapore,rti,1,Nanyang Technological University,Nanyang Technological University,0.664988,0.515565,5,Nanyang Technological University,National University of Singapore,0,1
Nanyang Technological University--National University of Singapore#rti,Nanyang Technological University--National University of Singapore,rti,2,National University of Singapore,National University of Singapore,0.59751,0.507684,5,Nanyang Technological University,National University of Singapore,0,1
National University Health System--National University of Singapore#rti,National University Health System--National University of Singapore,rti,1,National University Health System,National University Health System,0.554169,0.437829,5,National University Health System,National University of Singapore,0,1
National University Health System--National University of Singapore#rti,National University Health System--National University of Singapore,rti,2,National University of Singapore,National University of Singapore,0.59751,0.507684,5,National University Health System,National University of Singapore,0,1
Duke-NUS Medical School--National University of Singapore#amr_hai,Duke-NUS Medical School--National University of Singapore,amr_hai,1,Duke-NUS Medical School,Duke-NUS Medical School,0.465633,0.441401,5,Duke-NUS Medical School,National University of Singapore,0,1
Duke-NUS Medical School--National University of Singapore#amr_hai,Duke-NUS Medical School--National University of Singapore,amr_hai,2,National University of Singapore,National University of Singapore,0.59751,0.507684,5,Duke-NUS Medical School,National University of Singapore,0,1
London School of Hygiene & Tropical Medicine--National University of Singapore#vector_borne,London School of Hygiene & Tropical Medicine--National University of Singapore,vector_borne,1,London School of Hygiene & Tropical Medicine,London School of Hygiene & Tropical Medicine,0.690267,0.57095,5,London School of Hygiene & Tropical Medicine,National University of Singapore,1,1
London School of Hygiene & Tropical Medicine--National University of Singapore#vector_borne,London School of Hygiene & Tropical Medicine--National University of Singapore,vector_borne,2,National University of Singapore,National University of Singapore,0.59751,0.507684,5,London School of Hygiene & Tropical Medicine,National University of Singapore,1,1
Mahidol University--University of Oxford#amr_hai,Mahidol University--University of Oxford,amr_hai,1,Mahidol University,Mahidol University,0.601502,0.392831,5,Mahidol University,University of Oxford,1,0
Mahidol University--University of Oxford#amr_hai,Mahidol University--University of Oxford,amr_hai,2,University of Oxford,University of Oxford,0.658401,0.434596,5,Mahidol University,University of Oxford,1,0
National University Health System--National University of Singapore#amr_hai,National University Health System--National University of Singapore,amr_hai,1,National University Health System,National University Health System,0.554169,0.437829,5,National University Health System,National University of Singapore,0,1
National University Health System--National University of Singapore#amr_hai,National University Health System--National University of Singapore,amr_hai,2,National University of Singapore,National University of Singapore,0.59751,0.507684,5,National University Health System,National University of Singapore,0,1
National University of Singapore--Oxford University Clinical Research Unit#amr_hai,National University of Singapore--Oxford University Clinical Research Unit,amr_hai,1,National University of Singapore,National University of Singapore,0.59751,0.507684,5,National University of Singapore,Oxford University Clinical Research Unit,1,1
National University of Singapore--Oxford University Clinical Research Unit#amr_hai,National University of Singapore--Oxford University Clinical Research Unit,amr_hai,2,Oxford University Clinical Research Unit,Oxford University Clinical Research Unit,0.703504,0.365802,5,National University of Singapore,Oxford University Clinical Research Unit,1,1
Nanyang Technological University--National Centre for Infectious Diseases#vector_borne,Nanyang Technological University--National Centre for Infectious Diseases,vector_borne,1,Nanyang Technological University,Nanyang Technological University,0.664988,0.515565,5,Nanyang Technological University,National Centre for Infectious Diseases,0,1
Nanyang Technological University--National Centre for Infectious Diseases#vector_borne,Nanyang Technological University--National Centre for Infectious Diseases,vector_borne,2,National Centre for Infectious Diseases,National Centre for Infectious Diseases,0.63178,0.485666,5,Nanyang Technological University,National Centre for Infectious Diseases,0,1
National Centre for Infectious Diseases--Tan Tock Seng Hospital#amr_hai,National Centre for Infectious Diseases--Tan Tock Seng Hospital,amr_hai,1,National Centre for Infectious Diseases,National Centre for Infectious Diseases,0.63178,0.485666,5,National Centre for Infectious Diseases,Tan Tock Seng Hospital,0,1
National Centre for Infectious Diseases--Tan Tock Seng Hospital#amr_hai,National Centre for Infectious Diseases--Tan Tock Seng Hospital,amr_hai,2,Tan Tock Seng Hospital,Tan Tock Seng Hospital,0.54699,0.379399,5,National Centre for Infectious Diseases,Tan Tock Seng Hospital,0,1
National Centre for Infectious Diseases--Tan Tock Seng Hospital#tb,National Centre for Infectious Diseases--Tan Tock Seng Hospital,tb,1,National Centre for Infectious Diseases,National Centre for Infectious Diseases,0.63178,0.485666,5,National Centre for Infectious Diseases,Tan Tock Seng Hospital,0,1
